ptsdisk-09122015

 ,"ptsdisk"
Processor,Intel Xeon E5-2676 v3 @ 2.39GHz (16 Cores)
Motherboard,Xen HVM domU
Chipset,Intel 440FX- 82441FX PMC
Memory,64512MB
Disk,158GB
Graphics,Cirrus Logic GD 5446
Network,Intel 82599 Virtual Function
OS,Ubuntu 14.04
Kernel,3.13.0-48-generic (x86_64)
Compiler,GCC 4.8.4
File-System,ext4
System Layer,Xen HVM domU 4.2.amazon

 ,"ptsdisk"
"AIO-Stress - Random Write",2048.06
"SQLite - Timed SQLite Insertions",23.66
"FS-Mark - 1000 Files, 1MB Size",114.80
"Dbench - 12 Clients",700.52
"Dbench - 48 Clients",134.53
"Dbench - 128 Clients",113.45
"Dbench - 1 Clients",75.19
"IOzone - 8GB Read Performance",6533.59
"IOzone - 8GB Write Performance",20.73
"Threaded I/O Tester - 64MB Random Read - 32 Threads",13247.45
"Threaded I/O Tester - 64MB Random Write - 32 Threads",1.79
"Compile Bench - Test: Compile",1242.87
"Compile Bench - Test: Initial Create",290.53
"Compile Bench - Test: Read Compiled Tree",1995.96
"Unpacking The Linux Kernel - linux-2.6.32.tar.bz2",11.20
"PostMark - Disk Transaction Performance",4076
"Gzip Compression - 2GB File Compression",15.61
"Apache Benchmark - Static Web Page Serving",27572.86

