ptsdisk-16122015

 ,"ptsdisk"
Processor,Intel Xeon E5-2676 v3 @ 2.40GHz (2 Cores)
Motherboard,Xen HVM domU
Chipset,Intel 440FX- 82441FX PMC
Memory,4096MB
Disk,40GB
Graphics,Cirrus Logic GD 5446
OS,Ubuntu 14.04
Kernel,3.13.0-73-generic (x86_64)
Compiler,GCC 4.8.4
File-System,ext4
System Layer,Xen HVM domU 4.2.amazon

 ,"ptsdisk"
"AIO-Stress - Random Write",44.03
"SQLite - Timed SQLite Insertions",49.47
"FS-Mark - 1000 Files, 1MB Size",25.85
"Dbench - 12 Clients",259.87
"Dbench - 48 Clients",216.00
"Dbench - 128 Clients",239.92
"Dbench - 1 Clients",87.44
"IOzone - 8GB Read Performance",61.25
"IOzone - 8GB Write Performance",29.83
"Threaded I/O Tester - 64MB Random Read - 32 Threads",5101.70
"Threaded I/O Tester - 64MB Random Write - 32 Threads",1.09
"Compile Bench - Test: Compile",29.92
"Compile Bench - Test: Initial Create",76.12
"Compile Bench - Test: Read Compiled Tree",775.31
"Unpacking The Linux Kernel - linux-2.6.32.tar.bz2",12.32
"PostMark - Disk Transaction Performance",3886
"Gzip Compression - 2GB File Compression",15.90
"Apache Benchmark - Static Web Page Serving",13760.98

