ptsdisk-14122015

 ,"ptsdisk"
Processor,Intel Xeon E5-2670 v2 @ 2.49GHz (2 Cores)
Motherboard,Xen HVM domU
Chipset,Intel 440FX- 82441FX PMC
Memory,4096MB
Disk,40GB
Graphics,Cirrus Logic GD 5446
OS,Ubuntu 14.04
Kernel,3.13.0-71-generic (x86_64)
Compiler,GCC 4.8.4
File-System,ext4
System Layer,Xen HVM domU 4.2.amazon

 ,"ptsdisk"
"AIO-Stress - Random Write",136.14
"SQLite - Timed SQLite Insertions",34.43
"FS-Mark - 1000 Files, 1MB Size",47.70
"Dbench - 12 Clients",289.79
"Dbench - 48 Clients",35.08
"Dbench - 128 Clients",6.80
"Dbench - 1 Clients",17.68
"IOzone - 8GB Read Performance",5.12
"IOzone - 8GB Write Performance",5.11
"Threaded I/O Tester - 64MB Random Read - 32 Threads",4893.80
"Threaded I/O Tester - 64MB Random Write - 32 Threads",0.44
"Compile Bench - Test: Compile",6.68
"Compile Bench - Test: Initial Create",46.34
"Compile Bench - Test: Read Compiled Tree",553.26
"Unpacking The Linux Kernel - linux-2.6.32.tar.bz2",17.21
"PostMark - Disk Transaction Performance",3472
"Gzip Compression - 2GB File Compression",16.70
"Apache Benchmark - Static Web Page Serving",12147.49

