ptsdisk-22122015

 ,"ptsdisk"
Processor,Intel Xeon E5-2676 v3 @ 2.40GHz (1 Core)
Motherboard,Xen HVM domU
Chipset,Intel 440FX- 82441FX PMC
Memory,2048MB
Disk,20GB
Graphics,Cirrus Logic GD 5446
OS,Ubuntu 14.04
Kernel,3.13.0-74-generic (x86_64)
Compiler,GCC 4.8.4
File-System,ext4
System Layer,Xen HVM domU 4.2.amazon

 ,"ptsdisk"
"AIO-Stress - Random Write",23.47
"SQLite - Timed SQLite Insertions",50.99
"FS-Mark - 1000 Files, 1MB Size",21.25
"Dbench - 12 Clients",207.79
"Dbench - 48 Clients",182.59
"Dbench - 128 Clients",83.90
"Dbench - 1 Clients",88.31
"IOzone - 8GB Read Performance",60.00
"IOzone - 8GB Write Performance",23.48
"Threaded I/O Tester - 64MB Random Read - 32 Threads",14.17
"Threaded I/O Tester - 64MB Random Write - 32 Threads",0.64
"Compile Bench - Test: Compile",20.87
"Compile Bench - Test: Initial Create",42.44
"Compile Bench - Test: Read Compiled Tree",42.34
"Unpacking The Linux Kernel - linux-2.6.32.tar.bz2",16.15
"PostMark - Disk Transaction Performance",733
"Gzip Compression - 2GB File Compression",26.70
"Apache Benchmark - Static Web Page Serving",7717.13

