ptstiobench-20160707

 ,"ptstiobench"
Processor,AMD Opteron 4171 HE @ 2.09GHz (1 Core)
Motherboard,Microsoft Virtual Machine v7.0
Chipset,Intel 440BX/ZX/DX
Memory,2048MB
Disk,31GB Virtual Disk + 43GB Virtual Disk
Graphics,Microsoft Hyper-V virtual VGA
OS,Ubuntu 14.04
Kernel,3.19.0-64-generic (x86_64)
Compiler,GCC 4.8.4
File-System,ext4
Screen Resolution,1152x864
System Layer,Microsoft Hyper-V Server

 ,"ptstiobench"
"Threaded I/O Tester - Test: Read - Size Per Thread: 32MB - Thread Count: 4",632.60
"Threaded I/O Tester - Test: Read - Size Per Thread: 32MB - Thread Count: 8",621.26
"Threaded I/O Tester - Test: Read - Size Per Thread: 64MB - Thread Count: 4",628.64
"Threaded I/O Tester - Test: Read - Size Per Thread: 64MB - Thread Count: 8",612.12
"Threaded I/O Tester - Test: Read - Size Per Thread: 128MB - Thread Count: 4",622.83
"Threaded I/O Tester - Test: Read - Size Per Thread: 128MB - Thread Count: 8",419.85
"Threaded I/O Tester - Test: Read - Size Per Thread: 256MB - Thread Count: 4",641.03
"Threaded I/O Tester - Test: Read - Size Per Thread: 256MB - Thread Count: 8",13.14
"Threaded I/O Tester - Test: Read - Size Per Thread: 32MB - Thread Count: 16",538.60
"Threaded I/O Tester - Test: Read - Size Per Thread: 32MB - Thread Count: 32",618.41
"Threaded I/O Tester - Test: Read - Size Per Thread: 64MB - Thread Count: 16",616.29
"Threaded I/O Tester - Test: Read - Size Per Thread: 64MB - Thread Count: 32",14.83
"Threaded I/O Tester - Test: Write - Size Per Thread: 32MB - Thread Count: 4",0.23
"Threaded I/O Tester - Test: Write - Size Per Thread: 32MB - Thread Count: 8",0.42
"Threaded I/O Tester - Test: Write - Size Per Thread: 64MB - Thread Count: 4",0.23
"Threaded I/O Tester - Test: Write - Size Per Thread: 64MB - Thread Count: 8",0.41
"Threaded I/O Tester - Test: Read - Size Per Thread: 128MB - Thread Count: 16",13.68
"Threaded I/O Tester - Test: Read - Size Per Thread: 128MB - Thread Count: 32",14.11
"Threaded I/O Tester - Test: Read - Size Per Thread: 256MB - Thread Count: 16",13.88
"Threaded I/O Tester - Test: Read - Size Per Thread: 256MB - Thread Count: 32",14.45
"Threaded I/O Tester - Test: Write - Size Per Thread: 128MB - Thread Count: 4",0.24
"Threaded I/O Tester - Test: Write - Size Per Thread: 128MB - Thread Count: 8",0.42
"Threaded I/O Tester - Test: Write - Size Per Thread: 256MB - Thread Count: 4",0.24
"Threaded I/O Tester - Test: Write - Size Per Thread: 256MB - Thread Count: 8",0.42
"Threaded I/O Tester - Test: Write - Size Per Thread: 32MB - Thread Count: 16",0.72
"Threaded I/O Tester - Test: Write - Size Per Thread: 32MB - Thread Count: 32",0.78
"Threaded I/O Tester - Test: Write - Size Per Thread: 64MB - Thread Count: 16",0.70
"Threaded I/O Tester - Test: Write - Size Per Thread: 64MB - Thread Count: 32",0.79
"Threaded I/O Tester - Test: Write - Size Per Thread: 128MB - Thread Count: 16",0.68
"Threaded I/O Tester - Test: Write - Size Per Thread: 128MB - Thread Count: 32",0.79
"Threaded I/O Tester - Test: Write - Size Per Thread: 256MB - Thread Count: 16",0.68
"Threaded I/O Tester - Test: Write - Size Per Thread: 256MB - Thread Count: 32",0.78
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 32MB - Thread Count: 4",647.64
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 32MB - Thread Count: 8",510.68
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 64MB - Thread Count: 4",539.77
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 64MB - Thread Count: 8",546.45
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 128MB - Thread Count: 4",545.55
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 128MB - Thread Count: 8",596.49
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 256MB - Thread Count: 4",583.26
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 256MB - Thread Count: 8",2.40
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 32MB - Thread Count: 16",544.09
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 32MB - Thread Count: 32",596.44
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 64MB - Thread Count: 16",538.57
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 64MB - Thread Count: 32",1.64
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 32MB - Thread Count: 4",0.25
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 32MB - Thread Count: 8",0.43
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 64MB - Thread Count: 4",0.25
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 64MB - Thread Count: 8",0.42
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 128MB - Thread Count: 16",1.61
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 128MB - Thread Count: 32",0.91
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 256MB - Thread Count: 16",0.93
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 256MB - Thread Count: 32",0.73
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 128MB - Thread Count: 4",0.25
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 128MB - Thread Count: 8",0.38
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 256MB - Thread Count: 4",0.24
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 256MB - Thread Count: 8",0.33
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 32MB - Thread Count: 16",0.62
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 32MB - Thread Count: 32",0.69
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 64MB - Thread Count: 16",0.59
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 64MB - Thread Count: 32",0.69
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 128MB - Thread Count: 16",0.61
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 128MB - Thread Count: 32",0.68
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 256MB - Thread Count: 16",0.59
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 256MB - Thread Count: 32",0.65

