ptsmemory-20160707

 ,"ptsmemory"
Processor,AMD Opteron 4171 HE @ 2.09GHz (4 Cores)
Motherboard,Microsoft Virtual Machine v7.0
Chipset,Intel 440BX/ZX/DX
Memory,7168MB
Disk,31GB Virtual Disk + 129GB Virtual Disk
Graphics,Microsoft Hyper-V virtual VGA
OS,Ubuntu 14.04
Kernel,3.19.0-64-generic (x86_64)
Compiler,GCC 4.8.4
File-System,ext4
Screen Resolution,1152x864
System Layer,Microsoft Hyper-V Server

 ,"ptsmemory"
"RAMspeed SMP - Integer Add",4370.33
"RAMspeed SMP - Integer Copy",4853.43
"RAMspeed SMP - Integer Scale",4606.59
"RAMspeed SMP - Floating-Point Add",5056.75
"Stream - Add",8235.80
"Stream - Copy",7494.02
"Stream - Scale",7646.46


