pstcpu-28112015

 ,"ptscpu"
Processor,16 x Intel Core i7 9xx (Nehalem Class Core i7) @ 2.93GHz (16 Cores)
Motherboard,OpenStack Foundation Nova v2015.1.2
Chipset,Intel 440FX- 82441FX PMC
Memory,16384MB
Disk,158GB
Graphics,Cirrus Logic GD 5446
Network,Red Hat Virtio device
OS,Ubuntu 14.04
Kernel,3.13.0-68-generic (x86_64)
Compiler,GCC 4.8.4
File-System,ext4

 ,"ptscpu"
"Stream - Type: Copy",9442.84
"Stream - Type: Scale",9025.79
"Stream - Type: Triad",10358.21
"Stream - Type: Add",10200.15
"NAS Parallel Benchmarks - Test / Class: LU.A",9602.40
"Timed MAFFT Alignment - Multiple Sequence Alignment",9.55
"Gcrypt Library - CAMELLIA256-ECB Cipher",4015
"TSCP - AI Chess Performance",623229
"John The Ripper - Traditional DES",12036000
"John The Ripper - Blowfish",7059
"x264 - H.264 Video Encoding",99.63
"GraphicsMagick - HWB Color Space",88
"GraphicsMagick - Local Adaptive Thresholding",65
"GraphicsMagick - Sharpen",55
"GraphicsMagick - Resizing",88
"Himeno Benchmark - Poisson Pressure Solver",1200.39
"7-Zip Compression - Compress Speed Test",16342
"C-Ray - Total Time",16.47
"Parallel BZIP2 Compression - 256MB File Compression",5.74
"Smallpt - Global Illumination Renderer; 100 Samples",69
"Crafty - Elapsed Time",101.01
"FLAC Audio Encoding - WAV To FLAC",12.55
"LAME MP3 Encoding - WAV To MP3",20.05
"FFmpeg - H.264 HD To NTSC DV",32.01
"Tachyon - Total Time",10.92
"OpenSSL - RSA 4096-bit Performance",557.07
"Apache Benchmark - Static Web Page Serving",5530.85

