ptsdisk-14102015

 ,"ptsdisk"
Processor,8 x Intel Core 2 Duo P9xxx (Penryn Class Core 2) @ 2.39GHz (8 Cores)
Motherboard,OpenStack Foundation Nova v2014.2.3
Chipset,Intel 440FX- 82441FX PMC
Memory,16384 MB + 8192 MB RAM
Disk,157GB
Graphics,Cirrus Logic GD 5446
Network,Red Hat Virtio device
OS,Debian 8.2
Kernel,3.16.0-4-amd64 (x86_64)
Compiler,GCC 4.9.2
File-System,ext4
System Layer,KVM

 ,"ptsdisk"
"AIO-Stress - Random Write",705.54
"SQLite - Timed SQLite Insertions",406.64
"FS-Mark - 1000 Files, 1MB Size",16.40
"Dbench - 12 Clients",75.97
"Dbench - 48 Clients",149.15
"Dbench - 128 Clients",171.25
"Dbench - 1 Clients",80.48
"IOzone - 8GB Read Performance",1570.00
"IOzone - 8GB Write Performance",78.89
"Threaded I/O Tester - 64MB Random Read - 32 Threads",2481.65
"Threaded I/O Tester - 64MB Random Write - 32 Threads",1.46
"Compile Bench - Test: Compile",236.49
"Compile Bench - Test: Initial Create",70.80
"Compile Bench - Test: Read Compiled Tree",240.48
"Unpacking The Linux Kernel - linux-2.6.32.tar.bz2",17.62
"PostMark - Disk Transaction Performance",1384
"Gzip Compression - 2GB File Compression",25.35
"Apache Benchmark - Static Web Page Serving",6991.34

