ptstiobench-02092015

 ,"ptsmemory","ptscpu","ptsdisk","16 x Intel Core 2 Duo P9xxx (Penryn Class Core 2) -"
Processor,16 x Intel Core 2 Duo P9xxx (Penryn Class Core 2) @ 2.39GHz (16 Cores),16 x Intel Core 2 Duo P9xxx (Penryn Class Core 2) @ 2.39GHz (16 Cores),16 x Intel Core 2 Duo P9xxx (Penryn Class Core 2) @ 2.39GHz (16 Cores),16 x Intel Core 2 Duo P9xxx (Penryn Class Core 2) @ 2.39GHz (16 Cores)
Motherboard,OpenStack Foundation Nova v2014.2.3,OpenStack Foundation Nova v2014.2.3,OpenStack Foundation Nova v2014.2.3,OpenStack Foundation Nova v2014.2.3
Chipset,Intel 440FX- 82441FX PMC,Intel 440FX- 82441FX PMC,Intel 440FX- 82441FX PMC,Intel 440FX- 82441FX PMC
Memory,2 x 16384 MB RAM,2 x 16384 MB RAM,2 x 16384 MB RAM,2 x 16384 MB RAM
Disk,38GB,38GB,38GB,38GB
Graphics,Cirrus Logic GD 5446,Cirrus Logic GD 5446,Cirrus Logic GD 5446,Cirrus Logic GD 5446
Network,Red Hat Virtio device,Red Hat Virtio device,Red Hat Virtio device,Red Hat Virtio device
OS,CentOS 6.7,CentOS 6.7,CentOS 6.7,CentOS 6.7
Kernel,2.6.32-573.3.1.el6.x86_64 (x86_64),2.6.32-573.3.1.el6.x86_64 (x86_64),2.6.32-573.3.1.el6.x86_64 (x86_64),2.6.32-573.3.1.el6.x86_64 (x86_64)
Compiler,GCC 4.4.7 20120313,GCC 4.4.7 20120313,GCC 4.4.7 20120313,GCC 4.4.7 20120313
File-System,ext4,ext4,ext4,ext4

 ,"ptsmemory","ptscpu","ptsdisk","16 x Intel Core 2 Duo P9xxx (Penryn Class Core 2) -"
"RAMspeed SMP - Integer Add",3561.91
"RAMspeed SMP - Integer Copy",3517.32
"RAMspeed SMP - Integer Scale",3661.81
"RAMspeed SMP - Floating-Point Add",3320.57
"Stream - Add",7072.60
"Stream - Copy",6870.37
"Stream - Scale",6674.95
"CacheBench - Read Cache",1955.23
"CacheBench - Write Cache",5967.40
"Stream - Type: Copy",7145.27
"Stream - Type: Scale",7066.70
"Stream - Type: Triad",7268.19
"Stream - Type: Add",7438.04
"Timed MAFFT Alignment - Multiple Sequence Alignment",30.44
"TSCP - AI Chess Performance",539241
"John The Ripper - Traditional DES",34168000
"John The Ripper - Blowfish",8800
"x264 - H.264 Video Encoding",124.39
"Himeno Benchmark - Poisson Pressure Solver",596.22
"C-Ray - Total Time",25.48
"LAME MP3 Encoding - WAV To MP3",28.14
"FFmpeg - H.264 HD To NTSC DV",32.34
"OpenSSL - RSA 4096-bit Performance",810.30
"AIO-Stress - Random Write",720.89
"SQLite - Timed SQLite Insertions",586.01
"Dbench - 12 Clients",23.41
"Dbench - 48 Clients",84.11
"Dbench - 128 Clients",68.82
"Dbench - 1 Clients",46.19
"IOzone - 8GB Read Performance",1361.22
"IOzone - 8GB Write Performance",59.01
"Threaded I/O Tester - 64MB Random Read - 32 Threads",917.43
"Threaded I/O Tester - 64MB Random Write - 32 Threads",0.74
"Compile Bench - Test: Compile",344.95
"Compile Bench - Test: Initial Create",59.81
"Compile Bench - Test: Read Compiled Tree",178.22
"Unpacking The Linux Kernel - linux-2.6.32.tar.bz2",19.92
"PostMark - Disk Transaction Performance",1295
"Gzip Compression - 2GB File Compression",22.33
"Threaded I/O Tester - Test: Read - Size Per Thread: 32MB - Thread Count: 4",1793.21
"Threaded I/O Tester - Test: Read - Size Per Thread: 32MB - Thread Count: 8",1490.45
"Threaded I/O Tester - Test: Read - Size Per Thread: 64MB - Thread Count: 4",2044.10
"Threaded I/O Tester - Test: Read - Size Per Thread: 64MB - Thread Count: 8",1530.02
"Threaded I/O Tester - Test: Read - Size Per Thread: 128MB - Thread Count: 4",2085.59
"Threaded I/O Tester - Test: Read - Size Per Thread: 128MB - Thread Count: 8",1545.16
"Threaded I/O Tester - Test: Read - Size Per Thread: 256MB - Thread Count: 4",1999.50
"Threaded I/O Tester - Test: Read - Size Per Thread: 256MB - Thread Count: 8",1631.91
"Threaded I/O Tester - Test: Read - Size Per Thread: 32MB - Thread Count: 16",981.08
"Threaded I/O Tester - Test: Read - Size Per Thread: 32MB - Thread Count: 32",864.48
"Threaded I/O Tester - Test: Read - Size Per Thread: 64MB - Thread Count: 16",992.43
