ptsdisk

 ,"ptsdisk"
Processor,16 x Intel Core 2 Duo P9xxx (Penryn Class Core 2) @ 2.39GHz (16 Cores)
Motherboard,OpenStack Foundation Nova v2014.2.3
Chipset,Intel 440FX- 82441FX PMC
Memory,2 x 16384 MB RAM
Disk,157GB
Graphics,Cirrus Logic GD 5446
Network,Red Hat Virtio device
OS,Debian 8.1
Kernel,3.16.0-4-amd64 (x86_64)
Compiler,GCC 4.9.2
File-System,ext4
System Layer,KVM

 ,"ptsdisk"
"AIO-Stress - Random Write",725.53
"SQLite - Timed SQLite Insertions",405.51
"FS-Mark - 1000 Files, 1MB Size",16.63
"Dbench - 12 Clients",122.76
"Dbench - 48 Clients",103.71
"Dbench - 128 Clients",105.95
"Dbench - 1 Clients",63.20
"IOzone - 8GB Read Performance",1441.68
"IOzone - 8GB Write Performance",48.60
"Threaded I/O Tester - 64MB Random Read - 32 Threads",2180.69
"Threaded I/O Tester - 64MB Random Write - 32 Threads",1.33
"Compile Bench - Test: Compile",305.47
"Compile Bench - Test: Initial Create",80.26
"Compile Bench - Test: Read Compiled Tree",233.38
"Unpacking The Linux Kernel - linux-2.6.32.tar.bz2",16.67
"PostMark - Disk Transaction Performance",1374
"Gzip Compression - 2GB File Compression",23.08
"Apache Benchmark - Static Web Page Serving",4554.73

