ptstiobench-15122015

 ,"ptscpu","ptsdisk","ptsmemory","ptstiobench"
Processor,16 x Intel Core 2 Duo P9xxx (Penryn Class Core 2) @ 2.39GHz (16 Cores),16 x Intel Core 2 Duo P9xxx (Penryn Class Core 2) @ 2.39GHz (16 Cores),16 x Intel Core 2 Duo P9xxx (Penryn Class Core 2) @ 2.39GHz (16 Cores),16 x Intel Core 2 Duo P9xxx (Penryn Class Core 2) @ 2.39GHz (16 Cores)
Motherboard,OpenStack Foundation Nova v2015.1.2,OpenStack Foundation Nova v2015.1.2,OpenStack Foundation Nova v2015.1.2,OpenStack Foundation Nova v2015.1.2
Chipset,Intel 440FX- 82441FX PMC,Intel 440FX- 82441FX PMC,Intel 440FX- 82441FX PMC,Intel 440FX- 82441FX PMC
Memory,32768MB,32768MB,32768MB,32768MB
Disk,158GB,158GB,158GB,158GB
Graphics,Cirrus Logic GD 5446,Cirrus Logic GD 5446,Cirrus Logic GD 5446,Cirrus Logic GD 5446
Network,Red Hat Virtio device,Red Hat Virtio device,Red Hat Virtio device,Red Hat Virtio device
OS,Ubuntu 14.04,Ubuntu 14.04,Ubuntu 14.04,Ubuntu 14.04
Kernel,3.13.0-71-generic (x86_64),3.13.0-71-generic (x86_64),3.13.0-71-generic (x86_64),3.13.0-71-generic (x86_64)
Compiler,GCC 4.8.4,GCC 4.8.4,GCC 4.8.4,GCC 4.8.4
File-System,ext4,ext4,ext4,ext4

 ,"ptscpu","ptsdisk","ptsmemory","ptstiobench"
"Stream - Type: Copy",6673.87
"Stream - Type: Scale",6722.73
"Stream - Type: Triad",6988.46
"Stream - Type: Add",7019.69
"NAS Parallel Benchmarks - Test / Class: LU.A",8209.48
"Timed MAFFT Alignment - Multiple Sequence Alignment",13.51
"Gcrypt Library - CAMELLIA256-ECB Cipher",4917
"TSCP - AI Chess Performance",435743
"John The Ripper - Traditional DES",33593333
"John The Ripper - Blowfish",9267
"GraphicsMagick - HWB Color Space",91
"GraphicsMagick - Local Adaptive Thresholding",41
"GraphicsMagick - Sharpen",62
"GraphicsMagick - Resizing",82
"Himeno Benchmark - Poisson Pressure Solver",676.41
"7-Zip Compression - Compress Speed Test",19174
"C-Ray - Total Time",13.90
"Parallel BZIP2 Compression - 256MB File Compression",5.51
"Smallpt - Global Illumination Renderer; 100 Samples",70
"Crafty - Elapsed Time",160.12
"FLAC Audio Encoding - WAV To FLAC",27.42
"LAME MP3 Encoding - WAV To MP3",31.76
"FFmpeg - H.264 HD To NTSC DV",32.19
"Tachyon - Total Time",11.55
"OpenSSL - RSA 4096-bit Performance",732.30
"Apache Benchmark - Static Web Page Serving",6017.76,5996.73
"AIO-Stress - Random Write",596.28
"SQLite - Timed SQLite Insertions",585.04
"FS-Mark - 1000 Files, 1MB Size",15.68
"Dbench - 12 Clients",53.15
"Dbench - 48 Clients",111.59
"Dbench - 128 Clients",98.23
"Dbench - 1 Clients",41.58
"IOzone - 8GB Read Performance",1539.47
"IOzone - 8GB Write Performance",98.57
"Threaded I/O Tester - 64MB Random Read - 32 Threads",2843.44
"Threaded I/O Tester - 64MB Random Write - 32 Threads",0.77
"Compile Bench - Test: Compile",275.03
"Compile Bench - Test: Initial Create",50.75
"Compile Bench - Test: Read Compiled Tree",618.29
"Unpacking The Linux Kernel - linux-2.6.32.tar.bz2",18.22
"PostMark - Disk Transaction Performance",1238
"Gzip Compression - 2GB File Compression",26.84
"RAMspeed SMP - Integer Add",3965.52
"RAMspeed SMP - Integer Copy",3990.47
"RAMspeed SMP - Integer Scale",4015.44
"RAMspeed SMP - Floating-Point Add",4130.18
"Stream - Add",7069.62
"Stream - Copy",7261.66
"Stream - Scale",7157.59
"CacheBench - Read Cache",1788.18
"CacheBench - Write Cache",7925.72
"Threaded I/O Tester - Test: Read - Size Per Thread: 32MB - Thread Count: 4",1710.06
"Threaded I/O Tester - Test: Read - Size Per Thread: 32MB - Thread Count: 8",3255.36
"Threaded I/O Tester - Test: Read - Size Per Thread: 64MB - Thread Count: 4",2422.81
"Threaded I/O Tester - Test: Read - Size Per Thread: 64MB - Thread Count: 8",3384.09
"Threaded I/O Tester - Test: Read - Size Per Thread: 128MB - Thread Count: 4",2411.43
"Threaded I/O Tester - Test: Read - Size Per Thread: 128MB - Thread Count: 8",3555.96
"Threaded I/O Tester - Test: Read - Size Per Thread: 256MB - Thread Count: 4",2723.35
"Threaded I/O Tester - Test: Read - Size Per Thread: 256MB - Thread Count: 8",3190.50
"Threaded I/O Tester - Test: Read - Size Per Thread: 32MB - Thread Count: 16",4011.67
"Threaded I/O Tester - Test: Read - Size Per Thread: 32MB - Thread Count: 32",4041.50
"Threaded I/O Tester - Test: Read - Size Per Thread: 64MB - Thread Count: 16",4162.74
"Threaded I/O Tester - Test: Read - Size Per Thread: 64MB - Thread Count: 32",3781.62
"Threaded I/O Tester - Test: Write - Size Per Thread: 32MB - Thread Count: 4",2.34
"Threaded I/O Tester - Test: Write - Size Per Thread: 32MB - Thread Count: 8",0.62
"Threaded I/O Tester - Test: Write - Size Per Thread: 64MB - Thread Count: 4",0.26
"Threaded I/O Tester - Test: Write - Size Per Thread: 64MB - Thread Count: 8",0.46
"Threaded I/O Tester - Test: Read - Size Per Thread: 128MB - Thread Count: 16",3434.50
"Threaded I/O Tester - Test: Read - Size Per Thread: 128MB - Thread Count: 32",2465.42
"Threaded I/O Tester - Test: Read - Size Per Thread: 256MB - Thread Count: 16",1721.28
"Threaded I/O Tester - Test: Read - Size Per Thread: 256MB - Thread Count: 32",1645.04
"Threaded I/O Tester - Test: Write - Size Per Thread: 128MB - Thread Count: 4",0.19
"Threaded I/O Tester - Test: Write - Size Per Thread: 128MB - Thread Count: 8",0.36
"Threaded I/O Tester - Test: Write - Size Per Thread: 256MB - Thread Count: 4",0.23
"Threaded I/O Tester - Test: Write - Size Per Thread: 256MB - Thread Count: 8",0.42
"Threaded I/O Tester - Test: Write - Size Per Thread: 32MB - Thread Count: 16",0.83
"Threaded I/O Tester - Test: Write - Size Per Thread: 32MB - Thread Count: 32",3.48
"Threaded I/O Tester - Test: Write - Size Per Thread: 64MB - Thread Count: 16",3.38
"Threaded I/O Tester - Test: Write - Size Per Thread: 64MB - Thread Count: 32",3.89
"Threaded I/O Tester - Test: Write - Size Per Thread: 128MB - Thread Count: 16",3.41
"Threaded I/O Tester - Test: Write - Size Per Thread: 128MB - Thread Count: 32",3.69
"Threaded I/O Tester - Test: Write - Size Per Thread: 256MB - Thread Count: 16",1.07
"Threaded I/O Tester - Test: Write - Size Per Thread: 256MB - Thread Count: 32",2.17
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 32MB - Thread Count: 4",951.18
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 32MB - Thread Count: 8",3097.64
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 64MB - Thread Count: 4",1669.67
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 64MB - Thread Count: 8",2554.18
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 128MB - Thread Count: 4",1766.90
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 128MB - Thread Count: 8",2589.72
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 256MB - Thread Count: 4",1240.30
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 256MB - Thread Count: 8",2475.46
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 32MB - Thread Count: 16",3139.89
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 32MB - Thread Count: 32",3203.72
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 64MB - Thread Count: 16",2794.55
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 64MB - Thread Count: 32",3120.25
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 32MB - Thread Count: 4",0.45
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 32MB - Thread Count: 8",0.80
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 64MB - Thread Count: 4",0.77
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 64MB - Thread Count: 8",1.34
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 128MB - Thread Count: 16",2781.76
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 128MB - Thread Count: 32",2706.10
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 256MB - Thread Count: 16",2676.87
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 256MB - Thread Count: 32",2867.68
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 128MB - Thread Count: 4",2.54
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 128MB - Thread Count: 8",3.20
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 256MB - Thread Count: 4",2.37
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 256MB - Thread Count: 8",2.95
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 32MB - Thread Count: 16",2.81
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 32MB - Thread Count: 32",2.04
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 64MB - Thread Count: 16",2.40
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 64MB - Thread Count: 32",0.88
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 128MB - Thread Count: 16",3.11
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 128MB - Thread Count: 32",2.26
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 256MB - Thread Count: 16",2.09
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 256MB - Thread Count: 32",1.98

