ptsdisk-20112015

 ,"ptsdisk"
Processor,24 x Intel Core 2 Duo P9xxx (Penryn Class Core 2) @ 2.39GHz (24 Cores)
Motherboard,OpenStack Foundation Nova v2015.1.2
Chipset,Intel 440FX- 82441FX PMC
Memory,129024MB
Disk,247GB
Graphics,Cirrus Logic GD 5446
Network,Red Hat Virtio device
OS,Ubuntu 14.04
Kernel,3.13.0-68-generic (x86_64)
Compiler,GCC 4.8.4
File-System,ext4

 ,"ptsdisk"
"AIO-Stress - Random Write",672.59
"SQLite - Timed SQLite Insertions",414.09
"FS-Mark - 1000 Files, 1MB Size",16.98
"Dbench - 12 Clients",96.34
"Dbench - 48 Clients",208.07
"Dbench - 128 Clients",123.83
"Dbench - 1 Clients",69.43
"IOzone - 8GB Read Performance",1541.07
"IOzone - 8GB Write Performance",74.71
"Threaded I/O Tester - 64MB Random Read - 32 Threads",2758.10
"Threaded I/O Tester - 64MB Random Write - 32 Threads",0.63
"Compile Bench - Test: Compile",344.03
"Compile Bench - Test: Initial Create",46.22
"Compile Bench - Test: Read Compiled Tree",607.58
"Unpacking The Linux Kernel - linux-2.6.32.tar.bz2",18.14
"PostMark - Disk Transaction Performance",1229
"Gzip Compression - 2GB File Compression",26.87
"Apache Benchmark - Static Web Page Serving",4266.19

