ptsdisk-09102015

 ,"ptsdisk"
Processor,Intel Core i7 9xx @ 2.93GHz (1 Core)
Motherboard,OpenStack Foundation Nova v2014.2.3
Chipset,Intel 440FX- 82441FX PMC
Memory,1 x 1024 MB RAM
Disk,38GB
Graphics,Cirrus Logic GD 5446
Network,Red Hat Virtio device
OS,CentOS 6.7
Kernel,2.6.32-573.7.1.el6.x86_64 (x86_64)
Compiler,GCC 4.4.7 20120313
File-System,ext4

 ,"ptsdisk"
"AIO-Stress - Random Write",76.47
"SQLite - Timed SQLite Insertions",258.79
"Dbench - 12 Clients",52.98
"Dbench - 48 Clients",119.35
"Dbench - 128 Clients",118.25
"Dbench - 1 Clients",18.69
"IOzone - 8GB Read Performance",88.03
"IOzone - 8GB Write Performance",50.23
"Threaded I/O Tester - 64MB Random Read - 32 Threads",55.41
"Threaded I/O Tester - 64MB Random Write - 32 Threads",5.56
"Compile Bench - Test: Compile",65.53
"Compile Bench - Test: Initial Create",52.11
"Compile Bench - Test: Read Compiled Tree",20.35
"Unpacking The Linux Kernel - linux-2.6.32.tar.bz2",15.91
"PostMark - Disk Transaction Performance",665
"Gzip Compression - 2GB File Compression",26.98

