ptstiobench-22122015

 ,"ptscpu","ptsdisk","ptsmemory","ptstiobench"
Processor,16 x Intel Core i7 9xx (Nehalem Class Core i7) @ 2.93GHz (16 Cores),16 x Intel Core i7 9xx (Nehalem Class Core i7) @ 2.93GHz (16 Cores),16 x Intel Core i7 9xx (Nehalem Class Core i7) @ 2.93GHz (16 Cores),16 x Intel Core i7 9xx (Nehalem Class Core i7) @ 2.93GHz (16 Cores)
Motherboard,OpenStack Foundation Nova v2015.1.2,OpenStack Foundation Nova v2015.1.2,OpenStack Foundation Nova v2015.1.2,OpenStack Foundation Nova v2015.1.2
Chipset,Intel 440FX- 82441FX PMC,Intel 440FX- 82441FX PMC,Intel 440FX- 82441FX PMC,Intel 440FX- 82441FX PMC
Memory,16384MB,16384MB,16384MB,16384MB
Disk,38GB,38GB,38GB,38GB
Graphics,Cirrus Logic GD 5446,Cirrus Logic GD 5446,Cirrus Logic GD 5446,Cirrus Logic GD 5446
Network,Red Hat Virtio device,Red Hat Virtio device,Red Hat Virtio device,Red Hat Virtio device
OS,CentOS 6.7,CentOS 6.7,CentOS 6.7,CentOS 6.7
Kernel,2.6.32-573.12.1.el6.x86_64 (x86_64),2.6.32-573.12.1.el6.x86_64 (x86_64),2.6.32-573.12.1.el6.x86_64 (x86_64),2.6.32-573.12.1.el6.x86_64 (x86_64)
Compiler,GCC 4.4.7 20120313,GCC 4.4.7 20120313,GCC 4.4.7 20120313,GCC 4.4.7 20120313
File-System,ext4,ext4,ext4,ext4

 ,"ptscpu","ptsdisk","ptsmemory","ptstiobench"
"Stream - Type: Copy",9523.95
"Stream - Type: Scale",9174.76
"Stream - Type: Triad",10609.69
"Stream - Type: Add",10557.88
"Timed MAFFT Alignment - Multiple Sequence Alignment",16.34
"TSCP - AI Chess Performance",757110
"John The Ripper - Traditional DES",22089667
"John The Ripper - Blowfish",7808
"x264 - H.264 Video Encoding",97.25
"Himeno Benchmark - Poisson Pressure Solver",1126.65
"C-Ray - Total Time",31.81
"LAME MP3 Encoding - WAV To MP3",20.42
"FFmpeg - H.264 HD To NTSC DV",32.99
"OpenSSL - RSA 4096-bit Performance",550
"AIO-Stress - Random Write",705.73
"SQLite - Timed SQLite Insertions",186.39
"Dbench - 12 Clients",143.73
"Dbench - 48 Clients",311.47
"Dbench - 128 Clients",409.44
"Dbench - 1 Clients",38.47
"IOzone - 8GB Read Performance",1075.29
"IOzone - 8GB Write Performance",60.32
"Threaded I/O Tester - 64MB Random Read - 32 Threads",1781.04
"Threaded I/O Tester - 64MB Random Write - 32 Threads",10.18
"Compile Bench - Test: Compile",171.98
"Compile Bench - Test: Initial Create",44.33
"Compile Bench - Test: Read Compiled Tree",445.90
"Unpacking The Linux Kernel - linux-2.6.32.tar.bz2",29.26
"PostMark - Disk Transaction Performance",2266
"Gzip Compression - 2GB File Compression",22.15
"RAMspeed SMP - Integer Add",7246.19
"RAMspeed SMP - Integer Copy",8089.62
"RAMspeed SMP - Integer Scale",8617.85
"RAMspeed SMP - Floating-Point Add",10025.10
"Stream - Add",10863.49
"Stream - Copy",9800.81
"Stream - Scale",9624.57
"CacheBench - Read Cache",2203.70
"CacheBench - Write Cache",7459.15
"Threaded I/O Tester - Test: Read - Size Per Thread: 32MB - Thread Count: 4",1544.47
"Threaded I/O Tester - Test: Read - Size Per Thread: 32MB - Thread Count: 8",1678.63
"Threaded I/O Tester - Test: Read - Size Per Thread: 64MB - Thread Count: 4",1657.22
"Threaded I/O Tester - Test: Read - Size Per Thread: 64MB - Thread Count: 8",1921.32
"Threaded I/O Tester - Test: Read - Size Per Thread: 128MB - Thread Count: 4",1791.26
"Threaded I/O Tester - Test: Read - Size Per Thread: 128MB - Thread Count: 8",2134.60
"Threaded I/O Tester - Test: Read - Size Per Thread: 256MB - Thread Count: 4",1911.57
"Threaded I/O Tester - Test: Read - Size Per Thread: 256MB - Thread Count: 8",2177.88
"Threaded I/O Tester - Test: Read - Size Per Thread: 32MB - Thread Count: 16",2271.41
"Threaded I/O Tester - Test: Read - Size Per Thread: 32MB - Thread Count: 32",2473.08
"Threaded I/O Tester - Test: Read - Size Per Thread: 64MB - Thread Count: 16",2461.48
"Threaded I/O Tester - Test: Read - Size Per Thread: 64MB - Thread Count: 32",2680.61
"Threaded I/O Tester - Test: Write - Size Per Thread: 32MB - Thread Count: 4",0.83
"Threaded I/O Tester - Test: Write - Size Per Thread: 32MB - Thread Count: 8",1.58
"Threaded I/O Tester - Test: Write - Size Per Thread: 64MB - Thread Count: 4",0.84
"Threaded I/O Tester - Test: Write - Size Per Thread: 64MB - Thread Count: 8",1.58
"Threaded I/O Tester - Test: Read - Size Per Thread: 128MB - Thread Count: 16",2536.04
"Threaded I/O Tester - Test: Read - Size Per Thread: 128MB - Thread Count: 32",2519.27
"Threaded I/O Tester - Test: Read - Size Per Thread: 256MB - Thread Count: 16",2685.11
"Threaded I/O Tester - Test: Read - Size Per Thread: 256MB - Thread Count: 32",2521.89
"Threaded I/O Tester - Test: Write - Size Per Thread: 128MB - Thread Count: 4",0.83
"Threaded I/O Tester - Test: Write - Size Per Thread: 128MB - Thread Count: 8",1.56
"Threaded I/O Tester - Test: Write - Size Per Thread: 256MB - Thread Count: 4",0.84
"Threaded I/O Tester - Test: Write - Size Per Thread: 256MB - Thread Count: 8",1.57
"Threaded I/O Tester - Test: Write - Size Per Thread: 32MB - Thread Count: 16",2.74
"Threaded I/O Tester - Test: Write - Size Per Thread: 32MB - Thread Count: 32",4.53
"Threaded I/O Tester - Test: Write - Size Per Thread: 64MB - Thread Count: 16",2.75
"Threaded I/O Tester - Test: Write - Size Per Thread: 64MB - Thread Count: 32",4.53
"Threaded I/O Tester - Test: Write - Size Per Thread: 128MB - Thread Count: 16",2.72
"Threaded I/O Tester - Test: Write - Size Per Thread: 128MB - Thread Count: 32",4.42
"Threaded I/O Tester - Test: Write - Size Per Thread: 256MB - Thread Count: 16",2.67
"Threaded I/O Tester - Test: Write - Size Per Thread: 256MB - Thread Count: 32",4.38
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 32MB - Thread Count: 4",1014.47
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 32MB - Thread Count: 8",1436.94
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 64MB - Thread Count: 4",1161.66
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 64MB - Thread Count: 8",1071.61
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 128MB - Thread Count: 4",1018.05
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 128MB - Thread Count: 8",1175.00
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 256MB - Thread Count: 4",857.03
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 256MB - Thread Count: 8",1207.04
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 32MB - Thread Count: 16",1733.23
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 32MB - Thread Count: 32",1966.43
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 64MB - Thread Count: 16",1441.61
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 64MB - Thread Count: 32",1862.77
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 32MB - Thread Count: 4",2.98
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 32MB - Thread Count: 8",4.45
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 64MB - Thread Count: 4",2.63
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 64MB - Thread Count: 8",4.42
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 128MB - Thread Count: 16",1592.80
