ptsdisk-25122015

 ,"ptsdisk"
Processor,16 x Intel Core i7 9xx (Nehalem Class Core i7) @ 2.93GHz (16 Cores)
Motherboard,OpenStack Foundation Nova v2015.1.2
Chipset,Intel 440FX- 82441FX PMC
Memory,16384MB
Disk,38GB
Graphics,Cirrus Logic GD 5446
Network,Red Hat Virtio device
OS,CentOS 6.7
Kernel,2.6.32-573.12.1.el6.x86_64 (x86_64)
Compiler,GCC 4.4.7 20120313
File-System,ext4

 ,"ptsdisk"
"AIO-Stress - Random Write",772.46
"SQLite - Timed SQLite Insertions",189.81
"Dbench - 12 Clients",141.95
"Dbench - 48 Clients",307.82
"Dbench - 128 Clients",407.71
"Dbench - 1 Clients",38.64
"IOzone - 8GB Read Performance",981.96
"IOzone - 8GB Write Performance",61.46
"Threaded I/O Tester - 64MB Random Read - 32 Threads",2388.05
"Threaded I/O Tester - 64MB Random Write - 32 Threads",10.57
"Compile Bench - Test: Compile",165.37
"Compile Bench - Test: Initial Create",41.21
"Compile Bench - Test: Read Compiled Tree",474.41
"Unpacking The Linux Kernel - linux-2.6.32.tar.bz2",28.97
"PostMark - Disk Transaction Performance",2525
"Gzip Compression - 2GB File Compression",20.66

