ptscpu-06012016

 ,"Intel Core 2 Duo P9xxx"
Processor,24 x Intel Core 2 Duo P9xxx (Penryn Class Core 2) @ 2.39GHz (24 Cores)
Motherboard,OpenStack Foundation Nova v2015.1.2
Chipset,Intel 440FX- 82441FX PMC
Memory,49152MB
Disk,38GB
Graphics,Cirrus Logic GD 5446
Network,Red Hat Virtio device
OS,CentOS 6.7
Kernel,2.6.32-573.12.1.el6.x86_64 (x86_64)
Compiler,GCC 4.4.7 20120313
File-System,ext4

 ,"Intel Core 2 Duo P9xxx"
"Stream - Type: Copy",7303.57
"Stream - Type: Scale",7200.38
"Stream - Type: Triad",7594.06
"Stream - Type: Add",7494.75
"Timed MAFFT Alignment - Multiple Sequence Alignment",54.30
"TSCP - AI Chess Performance",479862
"John The Ripper - Traditional DES",40129000
"John The Ripper - Blowfish",11082
"x264 - H.264 Video Encoding",132.71
"Himeno Benchmark - Poisson Pressure Solver",573.44
"C-Ray - Total Time",19.54
"LAME MP3 Encoding - WAV To MP3",31.58
"FFmpeg - H.264 HD To NTSC DV",32.41
"OpenSSL - RSA 4096-bit Performance",1068.87

