ptsdisk-29122015

 ,"Intel Core 2 Duo P9xxx"
Processor,24 x Intel Core 2 Duo P9xxx (Penryn Class Core 2) @ 2.39GHz (24 Cores)
Motherboard,OpenStack Foundation Nova v2015.1.2
Chipset,Intel 440FX- 82441FX PMC
Memory,130048MB
Disk,38GB
Graphics,Cirrus Logic GD 5446
Network,Red Hat Virtio device
OS,CentOS 6.7
Kernel,2.6.32-573.12.1.el6.x86_64 (x86_64)
Compiler,GCC 4.4.7 20120313
File-System,ext4

 ,"Intel Core 2 Duo P9xxx"
"AIO-Stress - Random Write",681.09
"SQLite - Timed SQLite Insertions",156.15
"Dbench - 12 Clients",47.64
"Dbench - 48 Clients",116.77
"Dbench - 128 Clients",156.26
"Dbench - 1 Clients",60.67
"IOzone - 8GB Read Performance",1469.55
"IOzone - 8GB Write Performance",57.47
"Threaded I/O Tester - 64MB Random Read - 32 Threads",684.66
"Threaded I/O Tester - 64MB Random Write - 32 Threads",2.13
"Compile Bench - Test: Compile",367.94
"Compile Bench - Test: Initial Create",43.11
"Compile Bench - Test: Read Compiled Tree",483.90
"Unpacking The Linux Kernel - linux-2.6.32.tar.bz2",22.54
"PostMark - Disk Transaction Performance",1157
"Gzip Compression - 2GB File Compression",25.05

