ptsdisk

 ,"ptsdisk"
Processor,2 x Intel Core 2 Duo P9xxx (Penryn Class Core 2) @ 2.39GHz (2 Cores)
Motherboard,OpenStack Foundation Nova v2014.2.3
Chipset,Intel 440FX- 82441FX PMC
Memory,1 x 4096 MB RAM
Disk,38GB
Graphics,Cirrus Logic GD 5446
Network,Red Hat Virtio device
OS,CentOS 6.7
Kernel,2.6.32-573.3.1.el6.x86_64 (x86_64)
Compiler,GCC 4.4.7 20120313
File-System,ext4

 ,"ptsdisk"
"AIO-Stress - Random Write",41.53
"SQLite - Timed SQLite Insertions",450.76
"FS-Mark - 1000 Files, 1MB Size",14.68
"Dbench - 12 Clients",99.51
"Dbench - 48 Clients",138.09
"Dbench - 128 Clients",118.30
"Dbench - 1 Clients",57.33
"IOzone - 8GB Read Performance",31.69
"IOzone - 8GB Write Performance",76.15
"Threaded I/O Tester - 64MB Random Read - 32 Threads",1174.82
"Threaded I/O Tester - 64MB Random Write - 32 Threads",1.43
"Compile Bench - Test: Compile",82.75
"Compile Bench - Test: Initial Create",56.61
"Compile Bench - Test: Read Compiled Tree",182.50
"Unpacking The Linux Kernel - linux-2.6.32.tar.bz2",20.46
"PostMark - Disk Transaction Performance",1254
"Gzip Compression - 2GB File Compression",22.58
"Apache Benchmark - Static Web Page Serving",3464.76

