ptstiobench-28092015

 ,"ptstiobench"
Processor,Intel Core 2 Duo P9xxx @ 2.39GHz (1 Core)
Motherboard,OpenStack Foundation Nova v2014.2.3
Chipset,Intel 440FX- 82441FX PMC
Memory,1 x 2048 MB RAM
Disk,38GB
Graphics,Cirrus Logic GD 5446
Network,Red Hat Virtio device
OS,CentOS 6.7
Kernel,2.6.32-573.7.1.el6.x86_64 (x86_64)
Compiler,GCC 4.4.7 20120313
File-System,ext4

 ,"ptstiobench"
"Threaded I/O Tester - Test: Read - Size Per Thread: 32MB - Thread Count: 4",1022.24
"Threaded I/O Tester - Test: Read - Size Per Thread: 32MB - Thread Count: 8",984.74
"Threaded I/O Tester - Test: Read - Size Per Thread: 64MB - Thread Count: 4",1008.71
"Threaded I/O Tester - Test: Read - Size Per Thread: 64MB - Thread Count: 8",827.27
"Threaded I/O Tester - Test: Read - Size Per Thread: 128MB - Thread Count: 4",889.65
"Threaded I/O Tester - Test: Read - Size Per Thread: 128MB - Thread Count: 8",889.49
"Threaded I/O Tester - Test: Read - Size Per Thread: 256MB - Thread Count: 4",832.88
"Threaded I/O Tester - Test: Read - Size Per Thread: 256MB - Thread Count: 8",39.34
"Threaded I/O Tester - Test: Read - Size Per Thread: 32MB - Thread Count: 16",960.91
"Threaded I/O Tester - Test: Read - Size Per Thread: 32MB - Thread Count: 32",846.33
"Threaded I/O Tester - Test: Read - Size Per Thread: 64MB - Thread Count: 16",874.06
"Threaded I/O Tester - Test: Read - Size Per Thread: 64MB - Thread Count: 32",9.36
"Threaded I/O Tester - Test: Write - Size Per Thread: 32MB - Thread Count: 4",0.43
"Threaded I/O Tester - Test: Write - Size Per Thread: 32MB - Thread Count: 8",0.85
"Threaded I/O Tester - Test: Write - Size Per Thread: 64MB - Thread Count: 4",1.73
"Threaded I/O Tester - Test: Write - Size Per Thread: 64MB - Thread Count: 8",3.17
"Threaded I/O Tester - Test: Read - Size Per Thread: 128MB - Thread Count: 16",20.03
"Threaded I/O Tester - Test: Read - Size Per Thread: 128MB - Thread Count: 32",15.22
