ptsdisk-09122015

 ,"ptsdisk"
Processor,16 x Intel Core 2 Duo P9xxx (Penryn Class Core 2) @ 2.39GHz (16 Cores)
Motherboard,OpenStack Foundation Nova v2015.1.2
Chipset,Intel 440FX- 82441FX PMC
Memory,16384MB
Disk,78GB
Graphics,Cirrus Logic GD 5446
Network,Red Hat Virtio device
OS,Debian 8.2
Kernel,3.16.0-4-amd64 (x86_64)
Compiler,GCC 4.9.2
File-System,ext4
System Layer,KVM

 ,"ptsdisk"
"AIO-Stress - Random Write",705.97
"SQLite - Timed SQLite Insertions",536.19
"FS-Mark - 1000 Files, 1MB Size",14.37
"Dbench - 12 Clients",143.43
"Dbench - 48 Clients",116.15
"Dbench - 128 Clients",168.10
"Dbench - 1 Clients",70.67
"IOzone - 8GB Read Performance",1565.99
"IOzone - 8GB Write Performance",44.12
"Threaded I/O Tester - 64MB Random Read - 32 Threads",2089.71
"Threaded I/O Tester - 64MB Random Write - 32 Threads",1.52
"Compile Bench - Test: Compile",167.70
"Compile Bench - Test: Initial Create",63.47
"Compile Bench - Test: Read Compiled Tree",625.50
"Unpacking The Linux Kernel - linux-2.6.32.tar.bz2",17.59
"PostMark - Disk Transaction Performance",1374
"Gzip Compression - 2GB File Compression",25.67
"Apache Benchmark - Static Web Page Serving",5220.34

