ptsmemory-01122015

 ,"ptsmemory"
Processor,16 x Intel Core i7 9xx (Nehalem Class Core i7) @ 2.93GHz (16 Cores)
Motherboard,OpenStack Foundation Nova v2015.1.2
Chipset,Intel 440FX- 82441FX PMC
Memory,16384MB
Disk,157GB
Graphics,Cirrus Logic GD 5446
Network,Red Hat Virtio device
OS,Debian 8.2
Kernel,3.16.0-4-amd64 (x86_64)
Compiler,GCC 4.9.2
File-System,ext4
System Layer,KVM

 ,"ptsmemory"
"RAMspeed SMP - Integer Add",9618.45
"RAMspeed SMP - Integer Copy",7896.34
"RAMspeed SMP - Integer Scale",7793.90
"RAMspeed SMP - Floating-Point Add",8977.58
"Stream - Add",8552.84
"Stream - Copy",7884.19
"Stream - Scale",7621.97
"CacheBench - Read Cache",2273.03
"CacheBench - Write Cache",11316.92

