ptstiobench-01122015

 ,"ptstiobench"
Processor,16 x Intel Core i7 9xx (Nehalem Class Core i7) @ 2.93GHz (16 Cores)
Motherboard,OpenStack Foundation Nova v2015.1.2
Chipset,Intel 440FX- 82441FX PMC
Memory,16384MB
Disk,157GB
Graphics,Cirrus Logic GD 5446
Network,Red Hat Virtio device
OS,Debian 8.2
Kernel,3.16.0-4-amd64 (x86_64)
Compiler,GCC 4.9.2
File-System,ext4
System Layer,KVM

 ,"ptstiobench"
"Threaded I/O Tester - Test: Read - Size Per Thread: 32MB - Thread Count: 4",2206.44
"Threaded I/O Tester - Test: Read - Size Per Thread: 32MB - Thread Count: 8",2624.29
"Threaded I/O Tester - Test: Read - Size Per Thread: 64MB - Thread Count: 4",2257.20
"Threaded I/O Tester - Test: Read - Size Per Thread: 64MB - Thread Count: 8",2607.75
"Threaded I/O Tester - Test: Read - Size Per Thread: 128MB - Thread Count: 4",2466.65
"Threaded I/O Tester - Test: Read - Size Per Thread: 128MB - Thread Count: 8",2990.20
"Threaded I/O Tester - Test: Read - Size Per Thread: 256MB - Thread Count: 4",2572.03
"Threaded I/O Tester - Test: Read - Size Per Thread: 256MB - Thread Count: 8",3110.41
"Threaded I/O Tester - Test: Read - Size Per Thread: 32MB - Thread Count: 16",2986.08
"Threaded I/O Tester - Test: Read - Size Per Thread: 32MB - Thread Count: 32",3280.75
"Threaded I/O Tester - Test: Read - Size Per Thread: 64MB - Thread Count: 16",2907.77
"Threaded I/O Tester - Test: Read - Size Per Thread: 64MB - Thread Count: 32",3381.80
"Threaded I/O Tester - Test: Write - Size Per Thread: 32MB - Thread Count: 4",0.87
"Threaded I/O Tester - Test: Write - Size Per Thread: 32MB - Thread Count: 8",1.57
"Threaded I/O Tester - Test: Write - Size Per Thread: 64MB - Thread Count: 4",0.87
"Threaded I/O Tester - Test: Write - Size Per Thread: 64MB - Thread Count: 8",1.60
"Threaded I/O Tester - Test: Read - Size Per Thread: 128MB - Thread Count: 16",3025.97
"Threaded I/O Tester - Test: Read - Size Per Thread: 128MB - Thread Count: 32",3320.43
"Threaded I/O Tester - Test: Read - Size Per Thread: 256MB - Thread Count: 16",3131.74
"Threaded I/O Tester - Test: Read - Size Per Thread: 256MB - Thread Count: 32",2893.78
"Threaded I/O Tester - Test: Write - Size Per Thread: 128MB - Thread Count: 4",0.86
"Threaded I/O Tester - Test: Write - Size Per Thread: 128MB - Thread Count: 8",1.59
"Threaded I/O Tester - Test: Write - Size Per Thread: 256MB - Thread Count: 4",0.78
"Threaded I/O Tester - Test: Write - Size Per Thread: 256MB - Thread Count: 8",1.04
"Threaded I/O Tester - Test: Write - Size Per Thread: 32MB - Thread Count: 16",1.89
"Threaded I/O Tester - Test: Write - Size Per Thread: 32MB - Thread Count: 32",2.84
"Threaded I/O Tester - Test: Write - Size Per Thread: 64MB - Thread Count: 16",1.75
"Threaded I/O Tester - Test: Write - Size Per Thread: 64MB - Thread Count: 32",2.81
"Threaded I/O Tester - Test: Write - Size Per Thread: 128MB - Thread Count: 16",1.88
"Threaded I/O Tester - Test: Write - Size Per Thread: 128MB - Thread Count: 32",2.65
"Threaded I/O Tester - Test: Write - Size Per Thread: 256MB - Thread Count: 16",1.87
"Threaded I/O Tester - Test: Write - Size Per Thread: 256MB - Thread Count: 32",2.81
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 32MB - Thread Count: 4",1367.85
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 32MB - Thread Count: 8",1679.01
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 64MB - Thread Count: 4",1270.65
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 64MB - Thread Count: 8",1652.44
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 128MB - Thread Count: 4",1090.70
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 128MB - Thread Count: 8",1457.75
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 256MB - Thread Count: 4",1001.57
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 256MB - Thread Count: 8",1374.31
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 32MB - Thread Count: 16",2499.17
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 32MB - Thread Count: 32",2682.07
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 64MB - Thread Count: 16",2309.60
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 64MB - Thread Count: 32",2562.19
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 32MB - Thread Count: 4",0.84
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 32MB - Thread Count: 8",1.62
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 64MB - Thread Count: 4",0.91
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 64MB - Thread Count: 8",1.55
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 128MB - Thread Count: 16",2253.64
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 128MB - Thread Count: 32",2280.91
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 256MB - Thread Count: 16",1368.75
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 256MB - Thread Count: 32",1682.19
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 128MB - Thread Count: 4",0.87
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 128MB - Thread Count: 8",1.47
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 256MB - Thread Count: 4",0.84
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 256MB - Thread Count: 8",1.60
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 32MB - Thread Count: 16",2.85
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 32MB - Thread Count: 32",4.13
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 64MB - Thread Count: 16",2.84
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 64MB - Thread Count: 32",3.61
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 128MB - Thread Count: 16",2.80
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 128MB - Thread Count: 32",3.89
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 256MB - Thread Count: 16",2.79
