ptsdisk-26112015

 ,"ptsdisk"
Processor,4 x Intel Core 2 Duo P9xxx (Penryn Class Core 2) @ 2.39GHz (4 Cores)
Motherboard,OpenStack Foundation Nova v2015.1.2
Chipset,Intel 440FX- 82441FX PMC
Memory,8192MB
Disk,78GB
Graphics,Cirrus Logic GD 5446
Network,Red Hat Virtio device
OS,Debian 8.2
Kernel,3.16.0-4-amd64 (x86_64)
Compiler,GCC 4.9.2
File-System,ext4
System Layer,KVM

 ,"ptsdisk"
"AIO-Stress - Random Write",661.85
"SQLite - Timed SQLite Insertions",502.70
"FS-Mark - 1000 Files, 1MB Size",15.42
"Dbench - 12 Clients",64.47
"Dbench - 48 Clients",147.14
"Dbench - 128 Clients",173.88
"Dbench - 1 Clients",84.90
"IOzone - 8GB Read Performance",64.48
"IOzone - 8GB Write Performance",90.28
"Threaded I/O Tester - 64MB Random Read - 32 Threads",2057.08
"Threaded I/O Tester - 64MB Random Write - 32 Threads",1.00
"Compile Bench - Test: Compile",93.64
"Compile Bench - Test: Initial Create",44.57
"Compile Bench - Test: Read Compiled Tree",261.61
"Unpacking The Linux Kernel - linux-2.6.32.tar.bz2",15.35
"PostMark - Disk Transaction Performance",1405
"Gzip Compression - 2GB File Compression",22.68
"Apache Benchmark - Static Web Page Serving",9098.88

