ptstiobench-27112015

 ,"ptstiobench"
Processor,4 x Intel Core 2 Duo P9xxx (Penryn Class Core 2) @ 2.39GHz (4 Cores)
Motherboard,OpenStack Foundation Nova v2015.1.2
Chipset,Intel 440FX- 82441FX PMC
Memory,8192MB
Disk,78GB
Graphics,Cirrus Logic GD 5446
Network,Red Hat Virtio device
OS,Debian 8.2
Kernel,3.16.0-4-amd64 (x86_64)
Compiler,GCC 4.9.2
File-System,ext4
System Layer,KVM

 ,"ptstiobench"
"Threaded I/O Tester - Test: Read - Size Per Thread: 32MB - Thread Count: 4",2872.29
"Threaded I/O Tester - Test: Read - Size Per Thread: 32MB - Thread Count: 8",2732.29
"Threaded I/O Tester - Test: Read - Size Per Thread: 64MB - Thread Count: 4",2944.13
"Threaded I/O Tester - Test: Read - Size Per Thread: 64MB - Thread Count: 8",2599.48
"Threaded I/O Tester - Test: Read - Size Per Thread: 128MB - Thread Count: 4",2853.48
"Threaded I/O Tester - Test: Read - Size Per Thread: 128MB - Thread Count: 8",2702.63
"Threaded I/O Tester - Test: Read - Size Per Thread: 256MB - Thread Count: 4",2754.34
"Threaded I/O Tester - Test: Read - Size Per Thread: 256MB - Thread Count: 8",2875.29
"Threaded I/O Tester - Test: Read - Size Per Thread: 32MB - Thread Count: 16",2824.54
"Threaded I/O Tester - Test: Read - Size Per Thread: 32MB - Thread Count: 32",2632.51
"Threaded I/O Tester - Test: Read - Size Per Thread: 64MB - Thread Count: 16",2778.60
"Threaded I/O Tester - Test: Read - Size Per Thread: 64MB - Thread Count: 32",2656.38
"Threaded I/O Tester - Test: Write - Size Per Thread: 32MB - Thread Count: 4",0.25
"Threaded I/O Tester - Test: Write - Size Per Thread: 32MB - Thread Count: 8",0.55
"Threaded I/O Tester - Test: Write - Size Per Thread: 64MB - Thread Count: 4",1.11
"Threaded I/O Tester - Test: Write - Size Per Thread: 64MB - Thread Count: 8",2.92
"Threaded I/O Tester - Test: Read - Size Per Thread: 128MB - Thread Count: 16",2712.54
"Threaded I/O Tester - Test: Read - Size Per Thread: 128MB - Thread Count: 32",2690.75
"Threaded I/O Tester - Test: Read - Size Per Thread: 256MB - Thread Count: 16",2808.26
"Threaded I/O Tester - Test: Read - Size Per Thread: 256MB - Thread Count: 32",5.15
"Threaded I/O Tester - Test: Write - Size Per Thread: 128MB - Thread Count: 4",2.03
"Threaded I/O Tester - Test: Write - Size Per Thread: 128MB - Thread Count: 8",1.39
"Threaded I/O Tester - Test: Write - Size Per Thread: 256MB - Thread Count: 4",2.38
"Threaded I/O Tester - Test: Write - Size Per Thread: 256MB - Thread Count: 8",2.24
"Threaded I/O Tester - Test: Write - Size Per Thread: 32MB - Thread Count: 16",3.77
"Threaded I/O Tester - Test: Write - Size Per Thread: 32MB - Thread Count: 32",4.01
"Threaded I/O Tester - Test: Write - Size Per Thread: 64MB - Thread Count: 16",3.86
"Threaded I/O Tester - Test: Write - Size Per Thread: 64MB - Thread Count: 32",3.90
"Threaded I/O Tester - Test: Write - Size Per Thread: 128MB - Thread Count: 16",3.83
"Threaded I/O Tester - Test: Write - Size Per Thread: 128MB - Thread Count: 32",3.88
"Threaded I/O Tester - Test: Write - Size Per Thread: 256MB - Thread Count: 16",3.75
"Threaded I/O Tester - Test: Write - Size Per Thread: 256MB - Thread Count: 32",3.79
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 32MB - Thread Count: 4",2254.18
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 32MB - Thread Count: 8",1834.04
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 64MB - Thread Count: 4",2291.45
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 64MB - Thread Count: 8",2020.46
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 128MB - Thread Count: 4",2049.38
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 128MB - Thread Count: 8",1974.31
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 256MB - Thread Count: 4",1805.66
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 256MB - Thread Count: 8",1661.20
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 32MB - Thread Count: 16",2162.12
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 32MB - Thread Count: 32",2274.10
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 64MB - Thread Count: 16",2199.42
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 64MB - Thread Count: 32",2069.09
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 32MB - Thread Count: 4",2.26
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 32MB - Thread Count: 8",3.34
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 64MB - Thread Count: 4",2.28
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 64MB - Thread Count: 8",3.21
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 128MB - Thread Count: 16",2073.90
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 128MB - Thread Count: 32",2156.84
