pstdisk-15082015

 ,"ptsdisk"
Processor,Intel Core i7 9xx @ 2.93GHz (1 Core)
Motherboard,OpenStack Foundation Nova v2014.2.2
Chipset,Intel 440FX- 82441FX PMC
Memory,1 x 2048 MB RAM
Disk,19GB
Graphics,Cirrus Logic GD 5446
Network,Red Hat Virtio device
OS,Debian 8.1
Kernel,3.16.0-4-amd64 (x86_64)
Compiler,GCC 4.9.2
File-System,ext4
System Layer,KVM

 ,"ptsdisk"
"AIO-Stress - Random Write",6.36
"SQLite - Timed SQLite Insertions",344.40
"FS-Mark - 1000 Files, 1MB Size",8.20
"Dbench - 12 Clients",38.30
"Dbench - 48 Clients",38.50
"Dbench - 128 Clients",17.82
"Dbench - 1 Clients",18.07
"IOzone - 8GB Read Performance",54.11
"IOzone - 8GB Write Performance",26.69
"Threaded I/O Tester - 64MB Random Read - 32 Threads",7.07
"Threaded I/O Tester - 64MB Random Write - 32 Threads",0.48
"Compile Bench - Test: Compile",12.31
"Compile Bench - Test: Initial Create",17.20
"Compile Bench - Test: Read Compiled Tree",378.29
"Unpacking The Linux Kernel - linux-2.6.32.tar.bz2",69.46
"PostMark - Disk Transaction Performance",301
"Gzip Compression - 2GB File Compression",62.31
"Apache Benchmark - Static Web Page Serving",6744.43

