ptstiobench-13102015

 ,"ptstiobench"
Processor,Intel Core i7 9xx @ 2.93GHz (1 Core)
Motherboard,OpenStack Foundation Nova v2014.2.3
Chipset,Intel 440FX- 82441FX PMC
Memory,1024MB
Disk,39GB
Graphics,Cirrus Logic GD 5446
Network,Red Hat Virtio device
OS,Debian 8.2
Kernel,3.16.0-4-amd64 (x86_64)
Compiler,GCC 4.9.2
File-System,ext4
System Layer,KVM

 ,"ptstiobench"
"Threaded I/O Tester - Test: Read - Size Per Thread: 32MB - Thread Count: 4",1646.77
"Threaded I/O Tester - Test: Read - Size Per Thread: 32MB - Thread Count: 8",1449.20
"Threaded I/O Tester - Test: Read - Size Per Thread: 64MB - Thread Count: 4",1564.48
"Threaded I/O Tester - Test: Read - Size Per Thread: 64MB - Thread Count: 8",1295.25
"Threaded I/O Tester - Test: Read - Size Per Thread: 128MB - Thread Count: 4",1655.86
"Threaded I/O Tester - Test: Read - Size Per Thread: 128MB - Thread Count: 8",108.40
"Threaded I/O Tester - Test: Read - Size Per Thread: 256MB - Thread Count: 4",111.45
"Threaded I/O Tester - Test: Read - Size Per Thread: 256MB - Thread Count: 8",111.45
"Threaded I/O Tester - Test: Read - Size Per Thread: 32MB - Thread Count: 16",1478.96
"Threaded I/O Tester - Test: Read - Size Per Thread: 32MB - Thread Count: 32",121.06
"Threaded I/O Tester - Test: Read - Size Per Thread: 64MB - Thread Count: 16",115.33
"Threaded I/O Tester - Test: Read - Size Per Thread: 64MB - Thread Count: 32",110.83
"Threaded I/O Tester - Test: Write - Size Per Thread: 32MB - Thread Count: 4",0.80
"Threaded I/O Tester - Test: Write - Size Per Thread: 32MB - Thread Count: 8",0.99
"Threaded I/O Tester - Test: Write - Size Per Thread: 64MB - Thread Count: 4",0.61
"Threaded I/O Tester - Test: Write - Size Per Thread: 64MB - Thread Count: 8",0.94
"Threaded I/O Tester - Test: Read - Size Per Thread: 128MB - Thread Count: 16",111.64
"Threaded I/O Tester - Test: Read - Size Per Thread: 128MB - Thread Count: 32",111.47
"Threaded I/O Tester - Test: Read - Size Per Thread: 256MB - Thread Count: 16",111.44
"Threaded I/O Tester - Test: Read - Size Per Thread: 256MB - Thread Count: 32",111.48
"Threaded I/O Tester - Test: Write - Size Per Thread: 128MB - Thread Count: 4",0.57
"Threaded I/O Tester - Test: Write - Size Per Thread: 128MB - Thread Count: 8",0.99
"Threaded I/O Tester - Test: Write - Size Per Thread: 256MB - Thread Count: 4",0.63
"Threaded I/O Tester - Test: Write - Size Per Thread: 256MB - Thread Count: 8",0.96
"Threaded I/O Tester - Test: Write - Size Per Thread: 32MB - Thread Count: 16",1.77
"Threaded I/O Tester - Test: Write - Size Per Thread: 32MB - Thread Count: 32",3.06
"Threaded I/O Tester - Test: Write - Size Per Thread: 64MB - Thread Count: 16",1.71
"Threaded I/O Tester - Test: Write - Size Per Thread: 64MB - Thread Count: 32",2.86
"Threaded I/O Tester - Test: Write - Size Per Thread: 128MB - Thread Count: 16",1.76
"Threaded I/O Tester - Test: Write - Size Per Thread: 128MB - Thread Count: 32",2.81
"Threaded I/O Tester - Test: Write - Size Per Thread: 256MB - Thread Count: 16",1.76
"Threaded I/O Tester - Test: Write - Size Per Thread: 256MB - Thread Count: 32",2.76
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 32MB - Thread Count: 4",1384.57
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 32MB - Thread Count: 8",1389.01
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 64MB - Thread Count: 4",1155.58
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 64MB - Thread Count: 8",1248.53
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 128MB - Thread Count: 4",1262.37
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 128MB - Thread Count: 8",62.81
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 256MB - Thread Count: 4",27.29
