ptscpu-14122015

 ,"ptscpu"
Processor,4 x Intel Core i7 9xx (Nehalem Class Core i7) @ 2.93GHz (4 Cores)
Motherboard,OpenStack Foundation Nova v2015.1.2
Chipset,Intel 440FX- 82441FX PMC
Memory,8192MB
Disk,38GB
Graphics,Cirrus Logic GD 5446
Network,Red Hat Virtio device
OS,CentOS 6.7
Kernel,2.6.32-573.8.1.el6.x86_64 (x86_64)
Compiler,GCC 4.4.7 20120313
File-System,ext4

 ,"ptscpu"
"Stream - Type: Copy",8264.81
"Stream - Type: Scale",8075.60
"Stream - Type: Triad",9511.42
"Stream - Type: Add",9225.73
"Timed MAFFT Alignment - Multiple Sequence Alignment",11.22
"TSCP - AI Chess Performance",754306
"John The Ripper - Traditional DES",10317000
"John The Ripper - Blowfish",3017
"x264 - H.264 Video Encoding",54.76
"Himeno Benchmark - Poisson Pressure Solver",1167.85
"C-Ray - Total Time",69.28
"LAME MP3 Encoding - WAV To MP3",27.34
"FFmpeg - H.264 HD To NTSC DV",35.06
"OpenSSL - RSA 4096-bit Performance",274.47

