ptsmemory-14122015

 ,"ptsmemory"
Processor,4 x Intel Core i7 9xx (Nehalem Class Core i7) @ 2.93GHz (4 Cores)
Motherboard,OpenStack Foundation Nova v2015.1.2
Chipset,Intel 440FX- 82441FX PMC
Memory,8192MB
Disk,38GB
Graphics,Cirrus Logic GD 5446
Network,Red Hat Virtio device
OS,CentOS 6.7
Kernel,2.6.32-573.8.1.el6.x86_64 (x86_64)
Compiler,GCC 4.4.7 20120313
File-System,ext4

 ,"ptsmemory"
"RAMspeed SMP - Integer Add",7899.05
"RAMspeed SMP - Integer Copy",7909.13
"RAMspeed SMP - Integer Scale",7899.89
"RAMspeed SMP - Floating-Point Add",8748.77
"Stream - Add",8611.70
"Stream - Copy",8477.01
"Stream - Scale",8304.14
"CacheBench - Read Cache",2263.05
"CacheBench - Write Cache",8403.45

