ptsdisk-03112015

 ,"ptsdisk"
Processor,4 x Intel Core i7 9xx (Nehalem Class Core i7) @ 2.93GHz (4 Cores)
Motherboard,OpenStack Foundation Nova v2014.2.3
Chipset,Intel 440FX- 82441FX PMC
Memory,8192MB
Disk,79GB
Graphics,Cirrus Logic GD 5446
Network,Red Hat Virtio device
OS,Ubuntu 14.04
Kernel,3.13.0-66-generic (x86_64)
Compiler,GCC 4.8.4
File-System,ext4

 ,"ptsdisk"
"AIO-Stress - Random Write",795.38
"SQLite - Timed SQLite Insertions",131.15
"FS-Mark - 1000 Files, 1MB Size",23.40
"Dbench - 12 Clients",194.26
"Dbench - 48 Clients",343.14
"Dbench - 128 Clients",363.88
"Dbench - 1 Clients",40.80
"IOzone - 8GB Read Performance",87.28
"IOzone - 8GB Write Performance",61.40
"Threaded I/O Tester - 64MB Random Read - 32 Threads",2153.11
"Threaded I/O Tester - 64MB Random Write - 32 Threads",4.22
"Compile Bench - Test: Compile",103.93
"Compile Bench - Test: Initial Create",68.38
"Compile Bench - Test: Read Compiled Tree",226.15
"Unpacking The Linux Kernel - linux-2.6.32.tar.bz2",16.82
"PostMark - Disk Transaction Performance",3127
"Gzip Compression - 2GB File Compression",18.77
"Apache Benchmark - Static Web Page Serving",17225.25

