ptsmemory-25112015

 ,"ptsmemory"
Processor,4 x Intel Core 2 Duo P9xxx (Penryn Class Core 2) @ 2.39GHz (4 Cores)
Motherboard,OpenStack Foundation Nova v2015.1.2
Chipset,Intel 440FX- 82441FX PMC
Memory,8192MB
Disk,78GB
Graphics,Cirrus Logic GD 5446
Network,Red Hat Virtio device
OS,Debian 8.2
Kernel,3.16.0-4-amd64 (x86_64)
Compiler,GCC 4.9.2
File-System,ext4
System Layer,KVM

 ,"ptsmemory"
"RAMspeed SMP - Integer Add",3901.63
"RAMspeed SMP - Integer Copy",3772.52
"RAMspeed SMP - Integer Scale",3576.05
"RAMspeed SMP - Floating-Point Add",3886.77
"Stream - Add",7654.36
"Stream - Copy",7301.93
"Stream - Scale",7312.75
"CacheBench - Read Cache",2017.34
"CacheBench - Write Cache",8940.93

