ptsmemory-16102015

 ,"ptsmemory"
Processor,4 x Intel Core 2 Duo P9xxx (Penryn Class Core 2) @ 2.39GHz (4 Cores)
Motherboard,OpenStack Foundation Nova v2014.2.3
Chipset,Intel 440FX- 82441FX PMC
Memory,8192MB
Disk,79GB
Graphics,Cirrus Logic GD 5446
Network,Red Hat Virtio device
OS,Ubuntu 14.04
Kernel,3.13.0-65-generic (x86_64)
Compiler,GCC 4.8.4
File-System,ext4

 ,"ptsmemory"
"RAMspeed SMP - Integer Add",3776.92
"RAMspeed SMP - Integer Copy",3856.62
"RAMspeed SMP - Integer Scale",3896.89
"RAMspeed SMP - Floating-Point Add",3885.90
"Stream - Add",7201.71
"Stream - Copy",6874.00
"Stream - Scale",6694.90
"CacheBench - Read Cache",2015.97
"CacheBench - Write Cache",8927.27

