ptstiobench-20102015

 ,"ptsmemory","ptsdisk","ptscpu","ptstiobench"
Processor,4 x Intel Core 2 Duo P9xxx (Penryn Class Core 2) @ 2.39GHz (4 Cores),4 x Intel Core 2 Duo P9xxx (Penryn Class Core 2) @ 2.39GHz (4 Cores),4 x Intel Core 2 Duo P9xxx (Penryn Class Core 2) @ 2.39GHz (4 Cores),4 x Intel Core 2 Duo P9xxx (Penryn Class Core 2) @ 2.39GHz (4 Cores)
Motherboard,OpenStack Foundation Nova v2014.2.3,OpenStack Foundation Nova v2014.2.3,OpenStack Foundation Nova v2014.2.3,OpenStack Foundation Nova v2014.2.3
Chipset,Intel 440FX- 82441FX PMC,Intel 440FX- 82441FX PMC,Intel 440FX- 82441FX PMC,Intel 440FX- 82441FX PMC
Memory,8192MB,8192MB,8192MB,8192MB
Disk,79GB,79GB,79GB,79GB
Graphics,Cirrus Logic GD 5446,Cirrus Logic GD 5446,Cirrus Logic GD 5446,Cirrus Logic GD 5446
Network,Red Hat Virtio device,Red Hat Virtio device,Red Hat Virtio device,Red Hat Virtio device
OS,Ubuntu 14.04,Ubuntu 14.04,Ubuntu 14.04,Ubuntu 14.04
Kernel,3.13.0-65-generic (x86_64),3.13.0-65-generic (x86_64),3.13.0-65-generic (x86_64),3.13.0-65-generic (x86_64)
Compiler,GCC 4.8.4,GCC 4.8.4,GCC 4.8.4,GCC 4.8.4
File-System,ext4,ext4,ext4,ext4

 ,"ptsmemory","ptsdisk","ptscpu","ptstiobench"
"RAMspeed SMP - Integer Add",3776.92
"RAMspeed SMP - Integer Copy",3856.62
"RAMspeed SMP - Integer Scale",3896.89
"RAMspeed SMP - Floating-Point Add",3885.90
"Stream - Add",7201.71
"Stream - Copy",6874.00
"Stream - Scale",6694.90
"CacheBench - Read Cache",2015.97
"CacheBench - Write Cache",8927.27
"AIO-Stress - Random Write",599.55
"SQLite - Timed SQLite Insertions",410.81
"FS-Mark - 1000 Files, 1MB Size",17.72
"Dbench - 12 Clients",235.87
"Dbench - 48 Clients",152.87
"Dbench - 128 Clients",178.52
"Dbench - 1 Clients",90.79
"IOzone - 8GB Read Performance",70.81
"IOzone - 8GB Write Performance",83.30
"Threaded I/O Tester - 64MB Random Read - 32 Threads",2047.85
"Threaded I/O Tester - 64MB Random Write - 32 Threads",1.19
"Compile Bench - Test: Compile",87.48
"Compile Bench - Test: Initial Create",42.58
"Compile Bench - Test: Read Compiled Tree",257.39
"Unpacking The Linux Kernel - linux-2.6.32.tar.bz2",16.34
"PostMark - Disk Transaction Performance",1302
"Gzip Compression - 2GB File Compression",24.11
"Apache Benchmark - Static Web Page Serving",10033.47,9991.89
"Stream - Type: Copy",7099.58
"Stream - Type: Scale",7004.83
"Stream - Type: Triad",7073.33
"Stream - Type: Add",7360.96
"NAS Parallel Benchmarks - Test / Class: LU.A",4344.38
"Timed MAFFT Alignment - Multiple Sequence Alignment",13.87
"Gcrypt Library - CAMELLIA256-ECB Cipher",4337
"TSCP - AI Chess Performance",492822
