ptstiobench-21092015

 ,"ptsmemory","ptscpu","ptsdisk","ptstiobench"
Processor,4 x Intel Core i7 9xx (Nehalem Class Core i7) @ 2.93GHz (4 Cores),4 x Intel Core i7 9xx (Nehalem Class Core i7) @ 2.93GHz (4 Cores),4 x Intel Core i7 9xx (Nehalem Class Core i7) @ 2.93GHz (4 Cores),4 x Intel Core i7 9xx (Nehalem Class Core i7) @ 2.93GHz (4 Cores)
Motherboard,OpenStack Foundation Nova v2014.2.2,OpenStack Foundation Nova v2014.2.2,OpenStack Foundation Nova v2014.2.2,OpenStack Foundation Nova v2014.2.2
Chipset,Intel 440FX- 82441FX PMC,Intel 440FX- 82441FX PMC,Intel 440FX- 82441FX PMC,Intel 440FX- 82441FX PMC
Memory,1 x 8192 MB RAM,1 x 8192 MB RAM,1 x 8192 MB RAM,1 x 8192 MB RAM
Disk,79GB,79GB,79GB,79GB
Graphics,Cirrus Logic GD 5446,Cirrus Logic GD 5446,Cirrus Logic GD 5446,Cirrus Logic GD 5446
Network,Red Hat Virtio device,Red Hat Virtio device,Red Hat Virtio device,Red Hat Virtio device
OS,Ubuntu 14.04,Ubuntu 14.04,Ubuntu 14.04,Ubuntu 14.04
Kernel,3.13.0-63-generic (x86_64),3.13.0-63-generic (x86_64),3.13.0-63-generic (x86_64),3.13.0-63-generic (x86_64)
Compiler,GCC 4.8.4,GCC 4.8.4,GCC 4.8.4,GCC 4.8.4
File-System,ext4,ext4,ext4,ext4

 ,"ptsmemory","ptscpu","ptsdisk","ptstiobench"
"RAMspeed SMP - Integer Add",6061.76
"RAMspeed SMP - Integer Copy",6896.95
"RAMspeed SMP - Integer Scale",7508.66
"RAMspeed SMP - Floating-Point Add",10374.26
"Stream - Add",7997.01
"Stream - Copy",8039.91
"Stream - Scale",7970.92
"CacheBench - Read Cache",2270.75
"CacheBench - Write Cache",12457.90
"Stream - Type: Copy",7181.17
"Stream - Type: Scale",7054.56
"Stream - Type: Triad",7836.21
"Stream - Type: Add",7944.12
"NAS Parallel Benchmarks - Test / Class: LU.A",6063.86
"Timed MAFFT Alignment - Multiple Sequence Alignment",9.79
"Gcrypt Library - CAMELLIA256-ECB Cipher",4142
"TSCP - AI Chess Performance",653343
"John The Ripper - Traditional DES",6500167
"John The Ripper - Blowfish",2906
"x264 - H.264 Video Encoding",54.63
"GraphicsMagick - HWB Color Space",82
"GraphicsMagick - Local Adaptive Thresholding",65
"GraphicsMagick - Sharpen",38
"GraphicsMagick - Resizing",65
"Himeno Benchmark - Poisson Pressure Solver",1221.99
"7-Zip Compression - Compress Speed Test",9088
"C-Ray - Total Time",32.28
"Parallel BZIP2 Compression - 256MB File Compression",11.65
"Smallpt - Global Illumination Renderer; 100 Samples",171
"Crafty - Elapsed Time",99.78
"FLAC Audio Encoding - WAV To FLAC",11.39
"LAME MP3 Encoding - WAV To MP3",21.19
"FFmpeg - H.264 HD To NTSC DV",30.44
"Tachyon - Total Time",24.58
"OpenSSL - RSA 4096-bit Performance",280.87
"Apache Benchmark - Static Web Page Serving",19448.22,20516.15
"AIO-Stress - Random Write",685.25
"SQLite - Timed SQLite Insertions",25.94
"FS-Mark - 1000 Files, 1MB Size",113.78
"Dbench - 12 Clients",641.83
"Dbench - 48 Clients",466.02
"Dbench - 128 Clients",403.55
"Dbench - 1 Clients",168.58
"IOzone - 8GB Read Performance",161.43
"IOzone - 8GB Write Performance",204.20
"Threaded I/O Tester - 64MB Random Read - 32 Threads",2447.92
"Threaded I/O Tester - 64MB Random Write - 32 Threads",5.40
"Compile Bench - Test: Compile",193.59
"Compile Bench - Test: Initial Create",91.77
"Compile Bench - Test: Read Compiled Tree",203.18
"Unpacking The Linux Kernel - linux-2.6.32.tar.bz2",17.31
"PostMark - Disk Transaction Performance",3178
"Gzip Compression - 2GB File Compression",19.30
"Threaded I/O Tester - Test: Read - Size Per Thread: 32MB - Thread Count: 4",3863.20
"Threaded I/O Tester - Test: Read - Size Per Thread: 32MB - Thread Count: 8",4068.15
"Threaded I/O Tester - Test: Read - Size Per Thread: 64MB - Thread Count: 4",4315.46
"Threaded I/O Tester - Test: Read - Size Per Thread: 64MB - Thread Count: 8",4140.04
