ptsdisk-18092015

 ,"ptsdisk"
Processor,4 x Intel Core i7 9xx (Nehalem Class Core i7) @ 2.93GHz (4 Cores)
Motherboard,OpenStack Foundation Nova v2014.2.2
Chipset,Intel 440FX- 82441FX PMC
Memory,1 x 8192 MB RAM
Disk,79GB
Graphics,Cirrus Logic GD 5446
Network,Red Hat Virtio device
OS,Ubuntu 14.04
Kernel,3.13.0-63-generic (x86_64)
Compiler,GCC 4.8.4
File-System,ext4

 ,"ptsdisk"
"AIO-Stress - Random Write",685.25
"SQLite - Timed SQLite Insertions",25.94
"FS-Mark - 1000 Files, 1MB Size",113.78
"Dbench - 12 Clients",641.83
"Dbench - 48 Clients",466.02
"Dbench - 128 Clients",403.55
"Dbench - 1 Clients",168.58
"IOzone - 8GB Read Performance",161.43
"IOzone - 8GB Write Performance",204.20
"Threaded I/O Tester - 64MB Random Read - 32 Threads",2447.92
"Threaded I/O Tester - 64MB Random Write - 32 Threads",5.40
"Compile Bench - Test: Compile",193.59
"Compile Bench - Test: Initial Create",91.77
"Compile Bench - Test: Read Compiled Tree",203.18
"Unpacking The Linux Kernel - linux-2.6.32.tar.bz2",17.31
"PostMark - Disk Transaction Performance",3178
"Gzip Compression - 2GB File Compression",19.30
"Apache Benchmark - Static Web Page Serving",20516.15


