ptsmemory-09092015

 ,"ptsmemory"
Processor,2 x Intel Core i7 9xx (Nehalem Class Core i7) @ 2.93GHz (2 Cores)
Motherboard,OpenStack Foundation Nova v2014.2.2
Memory,1 x 4096 MB RAM
Disk,40GB
OS,CentOS Linux 7
Kernel,3.10.0-229.11.1.el7.x86_64 (x86_64)
Compiler,GCC 4.8.3 20140911
File-System,xfs
Screen Resolution,1024x768
System Layer,KVM

 ,"ptsmemory"
"RAMspeed SMP - Integer Add",5466.94
"RAMspeed SMP - Integer Copy",5309.75
"RAMspeed SMP - Integer Scale",5334.35
"RAMspeed SMP - Floating-Point Add",6204.80
"CacheBench - Read Cache",2524.16
"CacheBench - Write Cache",12424.46


