ptsdisk-03092015

 ,"ptsdisk"
Processor,2 x Intel Core i7 9xx (Nehalem Class Core i7) @ 2.93GHz (2 Cores)
Motherboard,OpenStack Foundation Nova v2014.2.2
Chipset,Intel 440FX- 82441FX PMC
Memory,1 x 4096 MB RAM
Disk,39GB
Graphics,Cirrus Logic GD 5446
Network,Red Hat Virtio device
OS,Debian 8.1
Kernel,3.16.0-4-amd64 (x86_64)
Compiler,GCC 4.9.2
File-System,ext4
System Layer,KVM

 ,"ptsdisk"
"AIO-Stress - Random Write",218.96
"SQLite - Timed SQLite Insertions",23.81
"FS-Mark - 1000 Files, 1MB Size",116.65
"Dbench - 12 Clients",463.73
"Dbench - 48 Clients",594.23
"Dbench - 128 Clients",586.09
"Dbench - 1 Clients",191.45
"IOzone - 8GB Read Performance",104.75
"IOzone - 8GB Write Performance",194.38
"Threaded I/O Tester - 64MB Random Read - 32 Threads",2394.40
"Threaded I/O Tester - 64MB Random Write - 32 Threads",5.46
"Compile Bench - Test: Compile",154.69
"Compile Bench - Test: Initial Create",108.70
"Compile Bench - Test: Read Compiled Tree",323.13
"Unpacking The Linux Kernel - linux-2.6.32.tar.bz2",14.29
"PostMark - Disk Transaction Performance",3695
"Gzip Compression - 2GB File Compression",17.00
"Apache Benchmark - Static Web Page Serving",4932.22

