ptstiobench-10122015

 ,"ptstiobench"
Processor,2 x Intel Core i7 9xx (Nehalem Class Core i7) @ 2.93GHz (2 Cores)
Motherboard,OpenStack Foundation Nova v2015.1.2
Chipset,Intel 440FX- 82441FX PMC
Memory,4096MB
Disk,38GB
Graphics,Cirrus Logic GD 5446
Network,Red Hat Virtio device
OS,CentOS 6.7
Kernel,2.6.32-573.8.1.el6.x86_64 (x86_64)
Compiler,GCC 4.4.7 20120313
File-System,ext4

 ,"ptstiobench"
"Threaded I/O Tester - Test: Read - Size Per Thread: 32MB - Thread Count: 4",1038.65
"Threaded I/O Tester - Test: Read - Size Per Thread: 32MB - Thread Count: 8",1189.73
"Threaded I/O Tester - Test: Read - Size Per Thread: 64MB - Thread Count: 4",999.95
"Threaded I/O Tester - Test: Read - Size Per Thread: 64MB - Thread Count: 8",1174.77
"Threaded I/O Tester - Test: Read - Size Per Thread: 128MB - Thread Count: 4",986.34
"Threaded I/O Tester - Test: Read - Size Per Thread: 128MB - Thread Count: 8",1039.13
"Threaded I/O Tester - Test: Read - Size Per Thread: 256MB - Thread Count: 4",1146.56
"Threaded I/O Tester - Test: Read - Size Per Thread: 256MB - Thread Count: 8",1211.66
"Threaded I/O Tester - Test: Read - Size Per Thread: 32MB - Thread Count: 16",1278.34
"Threaded I/O Tester - Test: Read - Size Per Thread: 32MB - Thread Count: 32",1296.47
"Threaded I/O Tester - Test: Read - Size Per Thread: 64MB - Thread Count: 16",1310.20
"Threaded I/O Tester - Test: Read - Size Per Thread: 64MB - Thread Count: 32",1226.85
"Threaded I/O Tester - Test: Write - Size Per Thread: 32MB - Thread Count: 4",0.79
"Threaded I/O Tester - Test: Write - Size Per Thread: 32MB - Thread Count: 8",1.47
"Threaded I/O Tester - Test: Write - Size Per Thread: 64MB - Thread Count: 4",0.83
"Threaded I/O Tester - Test: Write - Size Per Thread: 64MB - Thread Count: 8",1.62
"Threaded I/O Tester - Test: Read - Size Per Thread: 128MB - Thread Count: 16",1312.19
"Threaded I/O Tester - Test: Read - Size Per Thread: 128MB - Thread Count: 32",134.88
"Threaded I/O Tester - Test: Read - Size Per Thread: 256MB - Thread Count: 16",137.13
"Threaded I/O Tester - Test: Read - Size Per Thread: 256MB - Thread Count: 32",111.53
"Threaded I/O Tester - Test: Write - Size Per Thread: 128MB - Thread Count: 4",0.84
"Threaded I/O Tester - Test: Write - Size Per Thread: 128MB - Thread Count: 8",1.56
"Threaded I/O Tester - Test: Write - Size Per Thread: 256MB - Thread Count: 4",0.85
"Threaded I/O Tester - Test: Write - Size Per Thread: 256MB - Thread Count: 8",1.59
"Threaded I/O Tester - Test: Write - Size Per Thread: 32MB - Thread Count: 16",2.87
"Threaded I/O Tester - Test: Write - Size Per Thread: 32MB - Thread Count: 32",4.72
"Threaded I/O Tester - Test: Write - Size Per Thread: 64MB - Thread Count: 16",2.86
"Threaded I/O Tester - Test: Write - Size Per Thread: 64MB - Thread Count: 32",4.76
"Threaded I/O Tester - Test: Write - Size Per Thread: 128MB - Thread Count: 16",2.81
"Threaded I/O Tester - Test: Write - Size Per Thread: 128MB - Thread Count: 32",4.75
"Threaded I/O Tester - Test: Write - Size Per Thread: 256MB - Thread Count: 16",2.84
"Threaded I/O Tester - Test: Write - Size Per Thread: 256MB - Thread Count: 32",4.76
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 32MB - Thread Count: 4",917.04
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 32MB - Thread Count: 8",1206.52
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 64MB - Thread Count: 4",882.59
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 64MB - Thread Count: 8",1020.43
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 128MB - Thread Count: 4",856.47
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 128MB - Thread Count: 8",839.52
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 256MB - Thread Count: 4",689.05
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 256MB - Thread Count: 8",845.87
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 32MB - Thread Count: 16",1136.16
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 32MB - Thread Count: 32",1197.66
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 64MB - Thread Count: 16",984.99
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 64MB - Thread Count: 32",1240.04
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 32MB - Thread Count: 4",3.03
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 32MB - Thread Count: 8",5.17
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 64MB - Thread Count: 4",2.97
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 64MB - Thread Count: 8",5.08
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 128MB - Thread Count: 16",942.97
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 128MB - Thread Count: 32",216.87
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 256MB - Thread Count: 16",179.59
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 256MB - Thread Count: 32",63.47
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 128MB - Thread Count: 4",2.98
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 128MB - Thread Count: 8",4.75
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 256MB - Thread Count: 4",2.97
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 256MB - Thread Count: 8",4.79
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 32MB - Thread Count: 16",6.26
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 32MB - Thread Count: 32",8.71
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 64MB - Thread Count: 16",6.23
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 64MB - Thread Count: 32",9.07
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 128MB - Thread Count: 16",5.84
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 128MB - Thread Count: 32",8.93
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 256MB - Thread Count: 16",5.95
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 256MB - Thread Count: 32",8.68

