ptsmemory-21102015

 ,"ptsmemory"
Processor,2 x Intel Core i7 9xx (Nehalem Class Core i7) @ 2.93GHz (2 Cores)
Motherboard,OpenStack Foundation Nova v2014.2.3
Chipset,Intel 440FX- 82441FX PMC
Memory,4096MB
Disk,39GB
Graphics,Cirrus Logic GD 5446
Network,Red Hat Virtio device
OS,Debian 8.2
Kernel,3.16.0-4-amd64 (x86_64)
Compiler,GCC 4.9.2
File-System,ext4
System Layer,KVM

 ,"ptsmemory"
"RAMspeed SMP - Integer Add",7919.14
"RAMspeed SMP - Integer Copy",6520.80
"RAMspeed SMP - Integer Scale",6456.98
"RAMspeed SMP - Floating-Point Add",7439.33
"Stream - Add",6941.95
"Stream - Copy",6175.87
"Stream - Scale",6125.55
"CacheBench - Read Cache",2530.76
"CacheBench - Write Cache",12458.97


