ptsmemory-10092015

 ,"ptsmemory"
Processor,2 x Intel Core 2 Duo P9xxx (Penryn Class Core 2) @ 2.39GHz (2 Cores)
Motherboard,OpenStack Foundation Nova v2014.2.3
Chipset,Intel 440FX- 82441FX PMC
Memory,1 x 4096 MB RAM
Disk,40GB
Graphics,Cirrus Logic GD 5446
Network,Red Hat Virtio device
OS,Ubuntu 14.04
Kernel,3.13.0-63-generic (x86_64)
Compiler,GCC 4.8.4
File-System,ext4

 ,"ptsmemory"
"RAMspeed SMP - Integer Add",3845.20
"RAMspeed SMP - Integer Copy",3755.54
"RAMspeed SMP - Integer Scale",3782.45
"RAMspeed SMP - Floating-Point Add",3819.50
"Stream - Add",3686.19
"Stream - Copy",3824.09
"Stream - Scale",3804.22
"CacheBench - Read Cache",1778.24
"CacheBench - Write Cache",7908.44


