ptsmemory-15082015

 ,"ptsmemory"
Processor,Intel Core i7 9xx @ 2.93GHz (1 Core)
Motherboard,OpenStack Foundation Nova v2014.2.2
Chipset,Intel 440FX- 82441FX PMC
Memory,1 x 2048 MB RAM
Disk,19GB
Graphics,Cirrus Logic GD 5446
Network,Red Hat Virtio device
OS,Debian 8.1
Kernel,3.16.0-4-amd64 (x86_64)
Compiler,GCC 4.9.2
File-System,ext4
System Layer,KVM

 ,"ptsmemory"
"RAMspeed SMP - Integer Add",6228.04
"RAMspeed SMP - Integer Copy",5467.22
"RAMspeed SMP - Integer Scale",5478.02
"RAMspeed SMP - Floating-Point Add",6253.36
"Stream - Add",6146.05
"Stream - Copy",5506.92
"Stream - Scale",5476.27
"CacheBench - Read Cache",2530.18
"CacheBench - Write Cache",12266.70

