ptscpu-15082015

 ,"ptscpu"
Processor,Intel Core i7 9xx @ 2.93GHz (1 Core)
Motherboard,OpenStack Foundation Nova v2014.2.2
Chipset,Intel 440FX- 82441FX PMC
Memory,1 x 2048 MB RAM
Disk,19GB
Graphics,Cirrus Logic GD 5446
Network,Red Hat Virtio device
OS,Debian 8.1
Kernel,3.16.0-4-amd64 (x86_64)
Compiler,GCC 4.9.2
File-System,ext4
System Layer,KVM

 ,"ptscpu"
"Stream - Type: Copy",5194.97
"Stream - Type: Scale",5185.46
"Stream - Type: Triad",5860.92
"Stream - Type: Add",5786.82
"NAS Parallel Benchmarks - Test / Class: LU.A",2474.12
"Timed MAFFT Alignment - Multiple Sequence Alignment",27.16
"Gcrypt Library - CAMELLIA256-ECB Cipher",2872
"TSCP - AI Chess Performance",679763
"John The Ripper - Traditional DES",1804333
"John The Ripper - Blowfish",852
"TTSIOD 3D Renderer - Phong Rendering With Soft-Shadow Mapping",21.22
"x264 - H.264 Video Encoding",26.82
"GraphicsMagick - HWB Color Space",97
"GraphicsMagick - Local Adaptive Thresholding",71
"GraphicsMagick - Sharpen",40
"GraphicsMagick - Resizing",71
"Himeno Benchmark - Poisson Pressure Solver",1292.82
"7-Zip Compression - Compress Speed Test",3000
"C-Ray - Total Time",163.87
"Parallel BZIP2 Compression - 256MB File Compression",52.19
"Smallpt - Global Illumination Renderer; 100 Samples",665
"Crafty - Elapsed Time",94.29
"FLAC Audio Encoding - WAV To FLAC",10.17
"LAME MP3 Encoding - WAV To MP3",17.86
"FFmpeg - H.264 HD To NTSC DV",33.98
"Tachyon - Total Time",99.05
"OpenSSL - RSA 4096-bit Performance",72.70
"Apache Benchmark - Static Web Page Serving",6991.52

