ptsdisk-16102015

 ,"ptsdisk"
Processor,Intel Core i7 9xx @ 2.93GHz (1 Core)
Motherboard,OpenStack Foundation Nova v2014.2.3
Chipset,Intel 440FX- 82441FX PMC
Memory,1 x 2048 MB RAM
Disk,38GB
Graphics,Cirrus Logic GD 5446
Network,Red Hat Virtio device
OS,CentOS 6.7
Kernel,2.6.32-573.7.1.el6.x86_64 (x86_64)
Compiler,GCC 4.4.7 20120313
File-System,ext4

 ,"ptsdisk"
"AIO-Stress - Random Write",89.88
"SQLite - Timed SQLite Insertions",209.76
"Dbench - 12 Clients",114.19
"Dbench - 48 Clients",182.11
"Dbench - 128 Clients",103.32
"Dbench - 1 Clients",27.95
"IOzone - 8GB Read Performance",86.01
"IOzone - 8GB Write Performance",52.80
"Threaded I/O Tester - 64MB Random Read - 32 Threads",127.50
"Threaded I/O Tester - 64MB Random Write - 32 Threads",6.26
"Compile Bench - Test: Compile",68.48
"Compile Bench - Test: Initial Create",51.98
"Compile Bench - Test: Read Compiled Tree",214.39
"Unpacking The Linux Kernel - linux-2.6.32.tar.bz2",17.57
"PostMark - Disk Transaction Performance",1208
"Gzip Compression - 2GB File Compression",39.11

