ptsmemory-16102015

 ,"ptsmemory"
Processor,Intel Core i7 9xx @ 2.93GHz (1 Core)
Motherboard,OpenStack Foundation Nova v2014.2.3
Chipset,Intel 440FX- 82441FX PMC
Memory,2048MB
Disk,19GB
Graphics,Cirrus Logic GD 5446
Network,Red Hat Virtio device
OS,Debian 8.2
Kernel,3.16.0-4-amd64 (x86_64)
Compiler,GCC 4.9.2
File-System,ext4
System Layer,KVM

 ,"ptsmemory"
"RAMspeed SMP - Integer Add",6649.64
"RAMspeed SMP - Integer Copy",5831.05
"RAMspeed SMP - Integer Scale",6359.02
"RAMspeed SMP - Floating-Point Add",7433.88
"Stream - Add",7002.14
"Stream - Copy",6410.83
"Stream - Scale",6241.42
"CacheBench - Read Cache",2526.10
"CacheBench - Write Cache",12459.45

