ptscpu-16102015

 ,"ptscpu"
Processor,Intel Core i7 9xx @ 2.93GHz (1 Core)
Motherboard,OpenStack Foundation Nova v2014.2.3
Chipset,Intel 440FX- 82441FX PMC
Memory,2048MB
Disk,19GB
Graphics,Cirrus Logic GD 5446
Network,Red Hat Virtio device
OS,Debian 8.2
Kernel,3.16.0-4-amd64 (x86_64)
Compiler,GCC 4.9.2
File-System,ext4
System Layer,KVM

 ,"ptscpu"
"Stream - Type: Copy",7094.85
"Stream - Type: Scale",6600.12
"Stream - Type: Triad",7358.48
"Stream - Type: Add",7689.57
"NAS Parallel Benchmarks - Test / Class: LU.A",2569.08
"Timed MAFFT Alignment - Multiple Sequence Alignment",26.95
"Gcrypt Library - CAMELLIA256-ECB Cipher",2993
"TSCP - AI Chess Performance",681157
"John The Ripper - Traditional DES",1750667
"John The Ripper - Blowfish",880
"x264 - H.264 Video Encoding",26.77
"GraphicsMagick - HWB Color Space",97
"GraphicsMagick - Local Adaptive Thresholding",71
"GraphicsMagick - Sharpen",41
"GraphicsMagick - Resizing",71
"Himeno Benchmark - Poisson Pressure Solver",1311.58
"7-Zip Compression - Compress Speed Test",2913
"C-Ray - Total Time",121.92
"Parallel BZIP2 Compression - 256MB File Compression",52.17
"Smallpt - Global Illumination Renderer; 100 Samples",650
"Crafty - Elapsed Time",93.44
"FLAC Audio Encoding - WAV To FLAC",10.43
"LAME MP3 Encoding - WAV To MP3",18.00
"FFmpeg - H.264 HD To NTSC DV",34.24
"Tachyon - Total Time",98.59
"OpenSSL - RSA 4096-bit Performance",71.00
"Apache Benchmark - Static Web Page Serving",5677.01

