ptsdisk-25092015

 ,"ptsdisk"
Processor,Intel Core 2 Duo P9xxx @ 2.39GHz (1 Core)
Motherboard,OpenStack Foundation Nova v2014.2.3
Chipset,Intel 440FX- 82441FX PMC
Memory,1 x 2048 MB RAM
Disk,38GB
Graphics,Cirrus Logic GD 5446
Network,Red Hat Virtio device
OS,CentOS 6.7
Kernel,2.6.32-573.7.1.el6.x86_64 (x86_64)
Compiler,GCC 4.4.7 20120313
File-System,ext4

 ,"ptsdisk"
"AIO-Stress - Random Write",23.51
"SQLite - Timed SQLite Insertions",482.94
"Dbench - 12 Clients",52.54
"Dbench - 48 Clients",127.18
"Dbench - 128 Clients",97.84
"Dbench - 1 Clients",72.34
"IOzone - 8GB Read Performance",82.10
"IOzone - 8GB Write Performance",104.29
"Threaded I/O Tester - 64MB Random Read - 32 Threads",2.16
"Threaded I/O Tester - 64MB Random Write - 32 Threads",2.23
"Compile Bench - Test: Compile",72.03
"Compile Bench - Test: Initial Create",39.81
"Compile Bench - Test: Read Compiled Tree",189.17
"Unpacking The Linux Kernel - linux-2.6.32.tar.bz2",22.48
"PostMark - Disk Transaction Performance",452
"Gzip Compression - 2GB File Compression",45.48

