ptmemory-23092015

 ,"ptsmemory"
Processor,Intel Core 2 Duo P9xxx @ 2.39GHz (1 Core)
Motherboard,OpenStack Foundation Nova v2014.2.3
Chipset,Intel 440FX- 82441FX PMC
Memory,1 x 2048 MB RAM
Disk,38GB
Graphics,Cirrus Logic GD 5446
Network,Red Hat Virtio device
OS,CentOS 6.7
Kernel,2.6.32-573.7.1.el6.x86_64 (x86_64)
Compiler,GCC 4.4.7 20120313
File-System,ext4

 ,"ptsmemory"
"RAMspeed SMP - Integer Add",2016.73
"RAMspeed SMP - Integer Copy",2040.38
"RAMspeed SMP - Integer Scale",2037.90
"RAMspeed SMP - Floating-Point Add",2117.01
"Stream - Add",2217.35
"Stream - Copy",2113.34
"Stream - Scale",2125.01
"CacheBench - Read Cache",1771.32
"CacheBench - Write Cache",5328.97

