ptsdisk-07102015

 ,"ptsdisk"
Processor,Intel Core 2 Duo P9xxx @ 2.39GHz (1 Core)
Motherboard,OpenStack Foundation Nova v2014.2.3
Chipset,Intel 440FX- 82441FX PMC
Memory,1 x 2048 MB RAM
Disk,19GB
Graphics,Cirrus Logic GD 5446
Network,Red Hat Virtio device
OS,Debian 8.2
Kernel,3.16.0-4-amd64 (x86_64)
Compiler,GCC 4.9.2
File-System,ext4
System Layer,KVM

 ,"ptsdisk"
"SQLite - Timed SQLite Insertions",410.78
"FS-Mark - 1000 Files, 1MB Size",16.70
"Dbench - 12 Clients",72.09
"Dbench - 48 Clients",154.42
"Dbench - 128 Clients",99.48
"Dbench - 1 Clients",90.44
"IOzone - 8GB Read Performance",96.02
"IOzone - 8GB Write Performance",126.07
"Threaded I/O Tester - 64MB Random Read - 32 Threads",3.90
"Threaded I/O Tester - 64MB Random Write - 32 Threads",1.27
"Compile Bench - Test: Compile",64.24
"Compile Bench - Test: Initial Create",20.32
"Compile Bench - Test: Read Compiled Tree",239.45
"Unpacking The Linux Kernel - linux-2.6.32.tar.bz2",20.64
"PostMark - Disk Transaction Performance",797
"Gzip Compression - 2GB File Compression",33.66
"Apache Benchmark - Static Web Page Serving",3315.58

