ptsmemory-26082015

 ,"ptsdisk","ptscpu","ptsmemory"
Processor,Intel Core i7 9xx @ 2.93GHz (1 Core),Intel Core i7 9xx @ 2.93GHz (1 Core),Intel Core i7 9xx @ 2.93GHz (1 Core)
Motherboard,OpenStack Foundation Nova v2014.2.2,OpenStack Foundation Nova v2014.2.2,OpenStack Foundation Nova v2014.2.2
Chipset,Intel 440FX- 82441FX PMC,Intel 440FX- 82441FX PMC,Intel 440FX- 82441FX PMC
Memory,2048MB,2048MB,2048MB
Disk,20GB,20GB,20GB
Graphics,Cirrus Logic GD 5446,Cirrus Logic GD 5446,Cirrus Logic GD 5446
Network,Red Hat Virtio device,Red Hat Virtio device,Red Hat Virtio device
OS,Ubuntu 14.04,Ubuntu 14.04,Ubuntu 14.04
Kernel,3.13.0-61-generic (x86_64),3.13.0-61-generic (x86_64),3.13.0-61-generic (x86_64)
Compiler,GCC 4.8.4,GCC 4.8.4,GCC 4.8.4
File-System,ext4,ext4,ext4

 ,"ptsdisk","ptscpu","ptsmemory"
"AIO-Stress - Random Write",92.22
"SQLite - Timed SQLite Insertions",23.15
"FS-Mark - 1000 Files, 1MB Size",119.33
"Dbench - 12 Clients",326.45
"Dbench - 48 Clients",311.60
"Dbench - 128 Clients",173.38
"Dbench - 1 Clients",181.31
"IOzone - 8GB Read Performance",88.85
"IOzone - 8GB Write Performance",193.48
"Threaded I/O Tester - 64MB Random Read - 32 Threads",21.16
"Threaded I/O Tester - 64MB Random Write - 32 Threads",5.34
"Compile Bench - Test: Compile",129.90
"Compile Bench - Test: Initial Create",79.70
"Compile Bench - Test: Read Compiled Tree",27.60
"Unpacking The Linux Kernel - linux-2.6.32.tar.bz2",15.78
"PostMark - Disk Transaction Performance",1807
"Gzip Compression - 2GB File Compression",34.28
"Apache Benchmark - Static Web Page Serving",5944.23,5982.27
"Stream - Type: Copy",9160.22
"Stream - Type: Scale",9076.98
"Stream - Type: Triad",9677.10
"Stream - Type: Add",9680.01
"NAS Parallel Benchmarks - Test / Class: LU.A",2668.94
"Timed MAFFT Alignment - Multiple Sequence Alignment",28.28
"Gcrypt Library - CAMELLIA256-ECB Cipher",3493
"TSCP - AI Chess Performance",692977
"John The Ripper - Traditional DES",1770333
"John The Ripper - Blowfish",879
"x264 - H.264 Video Encoding",26.24
"GraphicsMagick - HWB Color Space",82
"GraphicsMagick - Local Adaptive Thresholding",68
"GraphicsMagick - Sharpen",15
"GraphicsMagick - Resizing",49
"Himeno Benchmark - Poisson Pressure Solver",1270.64
"C-Ray - Total Time",126.68
"Parallel BZIP2 Compression - 256MB File Compression",44.43
"Smallpt - Global Illumination Renderer; 100 Samples",675
"Crafty - Elapsed Time",94.54
"FLAC Audio Encoding - WAV To FLAC",11.51
"LAME MP3 Encoding - WAV To MP3",20.02
"FFmpeg - H.264 HD To NTSC DV",37.55
"OpenSSL - RSA 4096-bit Performance",69.95
"RAMspeed SMP - Integer Add",8316.06
"RAMspeed SMP - Integer Copy",8508.32
"RAMspeed SMP - Integer Scale",8715.09
"RAMspeed SMP - Floating-Point Add",8536.65
"Stream - Add",9540.81
"Stream - Copy",8869.11
"Stream - Scale",8801.27
"CacheBench - Read Cache",2526.13
"CacheBench - Write Cache",12092.35

