ptsdisk-26082015

 ,"ptsdisk"
Processor,Intel Core i7 9xx @ 2.93GHz (1 Core)
Motherboard,OpenStack Foundation Nova v2014.2.2
Chipset,Intel 440FX- 82441FX PMC
Memory,2048MB
Disk,20GB
Graphics,Cirrus Logic GD 5446
Network,Red Hat Virtio device
OS,Ubuntu 14.04
Kernel,3.13.0-61-generic (x86_64)
Compiler,GCC 4.8.4
File-System,ext4

 ,"ptsdisk"
"AIO-Stress - Random Write",92.22
"SQLite - Timed SQLite Insertions",23.15
"FS-Mark - 1000 Files, 1MB Size",119.33
"Dbench - 12 Clients",326.45
"Dbench - 48 Clients",311.60
"Dbench - 128 Clients",173.38
"Dbench - 1 Clients",181.31
"IOzone - 8GB Read Performance",88.85
"IOzone - 8GB Write Performance",193.48
"Threaded I/O Tester - 64MB Random Read - 32 Threads",21.16
"Threaded I/O Tester - 64MB Random Write - 32 Threads",5.34
"Compile Bench - Test: Compile",129.90
"Compile Bench - Test: Initial Create",79.70
"Compile Bench - Test: Read Compiled Tree",27.60
"Unpacking The Linux Kernel - linux-2.6.32.tar.bz2",15.78
"PostMark - Disk Transaction Performance",1807
"Gzip Compression - 2GB File Compression",34.28
"Apache Benchmark - Static Web Page Serving",5944.23

