ptscpu-27112015

 ,"ptscpu"
Processor,8 x Intel Core 2 Duo P9xxx (Penryn Class Core 2) @ 2.39GHz (8 Cores)
Motherboard,OpenStack Foundation Nova v2015.1.2
Chipset,Intel 440FX- 82441FX PMC
Memory,24576MB
Disk,158GB
Graphics,Cirrus Logic GD 5446
Network,Red Hat Virtio device
OS,Ubuntu 14.04
Kernel,3.13.0-68-generic (x86_64)
Compiler,GCC 4.8.4
File-System,ext4

 ,"ptscpu"
"Stream - Type: Copy",7567.19
"Stream - Type: Scale",7354.46
"Stream - Type: Triad",7703.00
"Stream - Type: Add",7607.09
"NAS Parallel Benchmarks - Test / Class: LU.A",5075.81
"Timed MAFFT Alignment - Multiple Sequence Alignment",11.07
"Gcrypt Library - CAMELLIA256-ECB Cipher",4897
"TSCP - AI Chess Performance",437750
"John The Ripper - Traditional DES",17877000
"John The Ripper - Blowfish",4668
"x264 - H.264 Video Encoding",89.33
"GraphicsMagick - HWB Color Space",90
"GraphicsMagick - Local Adaptive Thresholding",41
"GraphicsMagick - Sharpen",46
"GraphicsMagick - Resizing",77
"Himeno Benchmark - Poisson Pressure Solver",673.95
"7-Zip Compression - Compress Speed Test",12018
"C-Ray - Total Time",27.46
"Parallel BZIP2 Compression - 256MB File Compression",9.13
"Smallpt - Global Illumination Renderer; 100 Samples",139
"Crafty - Elapsed Time",159.43
"FLAC Audio Encoding - WAV To FLAC",27.37
"LAME MP3 Encoding - WAV To MP3",31.72
"FFmpeg - H.264 HD To NTSC DV",30.65
"Tachyon - Total Time",22.70
"OpenSSL - RSA 4096-bit Performance",366.83
"Apache Benchmark - Static Web Page Serving",7748.59

