ptsdisk-14122015

 ,"ptsdisk"
Processor,16 x Intel Core 2 Duo P9xxx (Penryn Class Core 2) @ 2.39GHz (16 Cores)
Motherboard,OpenStack Foundation Nova v2015.1.2
Chipset,Intel 440FX- 82441FX PMC
Memory,32768MB
Disk,158GB
Graphics,Cirrus Logic GD 5446
Network,Red Hat Virtio device
OS,Ubuntu 14.04
Kernel,3.13.0-71-generic (x86_64)
Compiler,GCC 4.8.4
File-System,ext4

 ,"ptsdisk"
"AIO-Stress - Random Write",596.28
"SQLite - Timed SQLite Insertions",585.04
"FS-Mark - 1000 Files, 1MB Size",15.68
"Dbench - 12 Clients",53.15
"Dbench - 48 Clients",111.59
"Dbench - 128 Clients",98.23
"Dbench - 1 Clients",41.58
"IOzone - 8GB Read Performance",1539.47
"IOzone - 8GB Write Performance",98.57
"Threaded I/O Tester - 64MB Random Read - 32 Threads",2843.44
"Threaded I/O Tester - 64MB Random Write - 32 Threads",0.77
"Compile Bench - Test: Compile",275.03
"Compile Bench - Test: Initial Create",50.75
"Compile Bench - Test: Read Compiled Tree",618.29
"Unpacking The Linux Kernel - linux-2.6.32.tar.bz2",18.22
"PostMark - Disk Transaction Performance",1238
"Gzip Compression - 2GB File Compression",26.84
"Apache Benchmark - Static Web Page Serving",5996.73

