ptsdisk-22102015

 ,"ptsdisk"
Processor,2 x Intel Core i7 9xx (Nehalem Class Core i7) @ 2.93GHz (2 Cores)
Motherboard,OpenStack Foundation Nova v2014.2.3
Chipset,Intel 440FX- 82441FX PMC
Memory,4096MB
Disk,40GB
Graphics,Cirrus Logic GD 5446
Network,Red Hat Virtio device
OS,Ubuntu 14.04
Kernel,3.13.0-66-generic (x86_64)
Compiler,GCC 4.8.4
File-System,ext4

 ,"ptsdisk"
"AIO-Stress - Random Write",155.65
"SQLite - Timed SQLite Insertions",173.23
"FS-Mark - 1000 Files, 1MB Size",22.20
"Dbench - 12 Clients",160.82
"Dbench - 48 Clients",274.83
"Dbench - 128 Clients",268.16
"Dbench - 1 Clients",37.90
"IOzone - 8GB Read Performance",91.70
"IOzone - 8GB Write Performance",62.01
"Threaded I/O Tester - 64MB Random Read - 32 Threads",1815.85
"Threaded I/O Tester - 64MB Random Write - 32 Threads",4.12
"Compile Bench - Test: Compile",82.65
"Compile Bench - Test: Initial Create",60.68
"Compile Bench - Test: Read Compiled Tree",290.90
"Unpacking The Linux Kernel - linux-2.6.32.tar.bz2",15.35
"PostMark - Disk Transaction Performance",3456
"Gzip Compression - 2GB File Compression",17.89
"Apache Benchmark - Static Web Page Serving",11629.94

