ptstiobench-14092015

 ,"ptsmemory","ptscpu","ptsdisk","ptstiobench"
Processor,2 x Intel Core 2 Duo P9xxx (Penryn Class Core 2) @ 2.39GHz (2 Cores),2 x Intel Core 2 Duo P9xxx (Penryn Class Core 2) @ 2.39GHz (2 Cores),2 x Intel Core 2 Duo P9xxx (Penryn Class Core 2) @ 2.39GHz (2 Cores),2 x Intel Core 2 Duo P9xxx (Penryn Class Core 2) @ 2.39GHz (2 Cores)
Motherboard,OpenStack Foundation Nova v2014.2.3,OpenStack Foundation Nova v2014.2.3,OpenStack Foundation Nova v2014.2.3,OpenStack Foundation Nova v2014.2.3
Chipset,Intel 440FX- 82441FX PMC,Intel 440FX- 82441FX PMC,Intel 440FX- 82441FX PMC,Intel 440FX- 82441FX PMC
Memory,1 x 4096 MB RAM,1 x 4096 MB RAM,1 x 4096 MB RAM,1 x 4096 MB RAM
Disk,40GB,40GB,40GB,40GB
Graphics,Cirrus Logic GD 5446,Cirrus Logic GD 5446,Cirrus Logic GD 5446,Cirrus Logic GD 5446
Network,Red Hat Virtio device,Red Hat Virtio device,Red Hat Virtio device,Red Hat Virtio device
OS,Ubuntu 14.04,Ubuntu 14.04,Ubuntu 14.04,Ubuntu 14.04
Kernel,3.13.0-63-generic (x86_64),3.13.0-63-generic (x86_64),3.13.0-63-generic (x86_64),3.13.0-63-generic (x86_64)
Compiler,GCC 4.8.4,GCC 4.8.4,GCC 4.8.4,GCC 4.8.4
File-System,ext4,ext4,ext4,ext4

 ,"ptsmemory","ptscpu","ptsdisk","ptstiobench"
"RAMspeed SMP - Integer Add",3845.20
"RAMspeed SMP - Integer Copy",3755.54
"RAMspeed SMP - Integer Scale",3782.45
"RAMspeed SMP - Floating-Point Add",3819.50
"Stream - Add",3686.19
"Stream - Copy",3824.09
"Stream - Scale",3804.22
"CacheBench - Read Cache",1778.24
"CacheBench - Write Cache",7908.44
"Stream - Type: Copy",3921.24
"Stream - Type: Scale",3854.36
"Stream - Type: Triad",3983.43
"Stream - Type: Add",4337.37
"NAS Parallel Benchmarks - Test / Class: LU.A",2148.49
"Timed MAFFT Alignment - Multiple Sequence Alignment",27.89
"Gcrypt Library - CAMELLIA256-ECB Cipher",4897
"TSCP - AI Chess Performance",437472
"John The Ripper - Traditional DES",4467000
"John The Ripper - Blowfish",1161
"x264 - H.264 Video Encoding",24.74
"GraphicsMagick - HWB Color Space",69
"GraphicsMagick - Local Adaptive Thresholding",40
"GraphicsMagick - Sharpen",18
"GraphicsMagick - Resizing",47
"Himeno Benchmark - Poisson Pressure Solver",657.67
"7-Zip Compression - Compress Speed Test",3505
"C-Ray - Total Time",109.80
"Parallel BZIP2 Compression - 256MB File Compression",33.85
"Smallpt - Global Illumination Renderer; 100 Samples",556
"Crafty - Elapsed Time",159.74
"FLAC Audio Encoding - WAV To FLAC",27.56
"LAME MP3 Encoding - WAV To MP3",31.80
"FFmpeg - H.264 HD To NTSC DV",43.36
"Tachyon - Total Time",90.77
"OpenSSL - RSA 4096-bit Performance",91.33
"Apache Benchmark - Static Web Page Serving",5419.52,5432.73
"AIO-Stress - Random Write",48.73
"SQLite - Timed SQLite Insertions",400.34
"FS-Mark - 1000 Files, 1MB Size",17.07
"Dbench - 12 Clients",79.68
"Dbench - 48 Clients",147.91
"Dbench - 128 Clients",147.80
"Dbench - 1 Clients",77.25
"IOzone - 8GB Read Performance",62.18
"IOzone - 8GB Write Performance",88.87
"Threaded I/O Tester - 64MB Random Read - 32 Threads",1230.18
"Threaded I/O Tester - 64MB Random Write - 32 Threads",1.46
"Compile Bench - Test: Compile",48.15
"Compile Bench - Test: Initial Create",21.90
"Compile Bench - Test: Read Compiled Tree",214.99
"Unpacking The Linux Kernel - linux-2.6.32.tar.bz2",19.44
"PostMark - Disk Transaction Performance",1231
"Gzip Compression - 2GB File Compression",27.12
"Threaded I/O Tester - Test: Read - Size Per Thread: 32MB - Thread Count: 4",1663.36
"Threaded I/O Tester - Test: Read - Size Per Thread: 32MB - Thread Count: 8",1688.68
"Threaded I/O Tester - Test: Read - Size Per Thread: 64MB - Thread Count: 4",1616.14
"Threaded I/O Tester - Test: Read - Size Per Thread: 64MB - Thread Count: 8",1571.04
"Threaded I/O Tester - Test: Read - Size Per Thread: 128MB - Thread Count: 4",1591.47
"Threaded I/O Tester - Test: Read - Size Per Thread: 128MB - Thread Count: 8",1352.60
"Threaded I/O Tester - Test: Read - Size Per Thread: 256MB - Thread Count: 4",1524.75
"Threaded I/O Tester - Test: Read - Size Per Thread: 256MB - Thread Count: 8",1658.37
