pts-all-tests-20160728

 ,"pts-all-tests","pts-all-tests-2"
Processor,8 x Intel Core i7 9xx (Nehalem Class Core i7) @ 2.93GHz (8 Cores),8 x Intel Core i7 9xx (Nehalem Class Core i7) @ 2.93GHz (8 Cores)
Motherboard,OpenStack Foundation Nova v2015.1.4,OpenStack Foundation Nova v2015.1.4
Chipset,Intel 440FX- 82441FX PMC,Intel 440FX- 82441FX PMC
Memory,16384MB,16384MB
Disk,158GB,158GB
Graphics,Cirrus Logic GD 5446,Cirrus Logic GD 5446
Network,Red Hat Virtio device,Red Hat Virtio device
OS,Ubuntu 14.04,Ubuntu 14.04
Kernel,3.13.0-92-generic (x86_64),3.13.0-92-generic (x86_64)
Compiler,GCC 4.8.4,GCC 4.8.4
File-System,ext4,ext4

 ,"pts-all-tests","pts-all-tests-2"
"AIO-Stress - Random Write",1155.70,822.60
"SQLite - Timed SQLite Insertions",136.38,137.34
"FS-Mark - 1000 Files, 1MB Size",23.80,25.50
"Dbench - 12 Clients",185.69,187.42
"Dbench - 48 Clients",354.59,355.02
"Dbench - 128 Clients",395.87,412.60
"Dbench - 1 Clients",40.88,41.66
"IOzone - 8GB Read Performance",1225.01,1431.82
"IOzone - 8GB Write Performance",67.09,68.21
"Threaded I/O Tester - 64MB Random Read - 32 Threads",1985.51,1843.23
"Threaded I/O Tester - 64MB Random Write - 32 Threads",4.80,5.10
"Threaded I/O Tester - Test: Read - Size Per Thread: 32MB - Thread Count: 4",1994.45,
"Threaded I/O Tester - Test: Read - Size Per Thread: 32MB - Thread Count: 8",2745.57,
"Threaded I/O Tester - Test: Read - Size Per Thread: 64MB - Thread Count: 4",2236.01,
"Threaded I/O Tester - Test: Read - Size Per Thread: 64MB - Thread Count: 8",2960.57,
"Threaded I/O Tester - Test: Read - Size Per Thread: 128MB - Thread Count: 4",2416.87,
"Threaded I/O Tester - Test: Read - Size Per Thread: 128MB - Thread Count: 8",2988.41,
"Threaded I/O Tester - Test: Read - Size Per Thread: 256MB - Thread Count: 4",2429.73,
"Threaded I/O Tester - Test: Read - Size Per Thread: 256MB - Thread Count: 8",3000.32,
"Threaded I/O Tester - Test: Read - Size Per Thread: 32MB - Thread Count: 16",2979.60,
"Threaded I/O Tester - Test: Read - Size Per Thread: 32MB - Thread Count: 32",3300.58,
"Threaded I/O Tester - Test: Read - Size Per Thread: 64MB - Thread Count: 16",3134.88,
"Threaded I/O Tester - Test: Read - Size Per Thread: 64MB - Thread Count: 32",3419.53,
"Threaded I/O Tester - Test: Write - Size Per Thread: 32MB - Thread Count: 4",0.77,
"Threaded I/O Tester - Test: Write - Size Per Thread: 32MB - Thread Count: 8",1.55,
"Threaded I/O Tester - Test: Write - Size Per Thread: 64MB - Thread Count: 4",0.83,
"Threaded I/O Tester - Test: Write - Size Per Thread: 64MB - Thread Count: 8",1.60,
"Threaded I/O Tester - Test: Read - Size Per Thread: 128MB - Thread Count: 16",3396.33,
"Threaded I/O Tester - Test: Read - Size Per Thread: 128MB - Thread Count: 32",3403.87,
"Threaded I/O Tester - Test: Read - Size Per Thread: 256MB - Thread Count: 16",3065.36,
"Threaded I/O Tester - Test: Read - Size Per Thread: 256MB - Thread Count: 32",3026.31,
"Threaded I/O Tester - Test: Write - Size Per Thread: 128MB - Thread Count: 4",0.50,
"Threaded I/O Tester - Test: Write - Size Per Thread: 128MB - Thread Count: 8",1.49,
"Threaded I/O Tester - Test: Write - Size Per Thread: 256MB - Thread Count: 4",0.85,
"Threaded I/O Tester - Test: Write - Size Per Thread: 256MB - Thread Count: 8",1.61,
"Threaded I/O Tester - Test: Write - Size Per Thread: 32MB - Thread Count: 16",2.73,
"Threaded I/O Tester - Test: Write - Size Per Thread: 32MB - Thread Count: 32",4.69,
"Threaded I/O Tester - Test: Write - Size Per Thread: 64MB - Thread Count: 16",2.68,
"Threaded I/O Tester - Test: Write - Size Per Thread: 64MB - Thread Count: 32",4.76,
"Threaded I/O Tester - Test: Write - Size Per Thread: 128MB - Thread Count: 16",2.82,
"Threaded I/O Tester - Test: Write - Size Per Thread: 128MB - Thread Count: 32",4.69,
"Threaded I/O Tester - Test: Write - Size Per Thread: 256MB - Thread Count: 16",2.79,
"Threaded I/O Tester - Test: Write - Size Per Thread: 256MB - Thread Count: 32",4.74,
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 32MB - Thread Count: 4",1314.09,
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 32MB - Thread Count: 8",1716.90,
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 64MB - Thread Count: 4",1039.81,
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 64MB - Thread Count: 8",1321.91,
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 128MB - Thread Count: 4",1191.36,
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 128MB - Thread Count: 8",1360.68,
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 256MB - Thread Count: 4",1120.23,
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 256MB - Thread Count: 8",1337.20,
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 32MB - Thread Count: 16",2024.79,
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 32MB - Thread Count: 32",2602.83,
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 64MB - Thread Count: 16",1778.21,
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 64MB - Thread Count: 32",2394.29,
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 32MB - Thread Count: 4",0.81,
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 32MB - Thread Count: 8",1.69,
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 64MB - Thread Count: 4",0.94,
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 64MB - Thread Count: 8",1.66,
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 128MB - Thread Count: 16",1623.90,
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 128MB - Thread Count: 32",1727.59,
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 256MB - Thread Count: 16",1232.05,
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 256MB - Thread Count: 32",1379.13,
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 128MB - Thread Count: 4",0.87,
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 128MB - Thread Count: 8",1.67,
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 256MB - Thread Count: 4",0.89,
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 256MB - Thread Count: 8",1.49,
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 32MB - Thread Count: 16",2.99,
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 32MB - Thread Count: 32",4.53,
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 64MB - Thread Count: 16",2.77,
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 64MB - Thread Count: 32",4.88,
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 128MB - Thread Count: 16",3.03,
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 128MB - Thread Count: 32",4.81,
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 256MB - Thread Count: 16",2.91,
"Threaded I/O Tester - Test: Random Write - Size Per Thread: 256MB - Thread Count: 32",4.95,
"Compile Bench - Test: Compile",204.08,200.59
"Compile Bench - Test: Initial Create",82.47,83.02
"Compile Bench - Test: Read Compiled Tree",780.75,878.98
"Unpacking The Linux Kernel - linux-2.6.32.tar.bz2",18.28,17.12
"PostMark - Disk Transaction Performance",3152,3164
"RAMspeed SMP - Integer Add",13734.74,13603.50
"RAMspeed SMP - Integer Copy",13302.48,13320.06
"RAMspeed SMP - Integer Scale",13623.55,13390.90
"RAMspeed SMP - Floating-Point Add",14701.54,13989.54
"Stream - Type: Copy",15391.74,15667.88
"Stream - Type: Scale",15680.40,15919.22
"Stream - Type: Triad",17820.58,17839.24
"Stream - Add",17580.52,17868.94
"Stream - Copy",15391.74,15667.88
"Stream - Scale",15680.40,15919.22
"Stream - Type: Add",17580.52,17868.94
"NAS Parallel Benchmarks - Test / Class: LU.A",9861.59,9638.89
"Timed MAFFT Alignment - Multiple Sequence Alignment",8.04,8.16
"CacheBench - Read Cache",2420.69,2328.81
"CacheBench - Write Cache",12445.02,12248.91
"Gcrypt Library - CAMELLIA256-ECB Cipher",3437,3413
"TSCP - AI Chess Performance",693503,692804
"John The Ripper - Traditional DES",5808333,5219167
"John The Ripper - Blowfish",2900,2659
"x264 - H.264 Video Encoding",70.38,72.66
"GraphicsMagick - HWB Color Space",86,88
"GraphicsMagick - Local Adaptive Thresholding",69,69
"GraphicsMagick - Sharpen",44,45
"GraphicsMagick - Resizing",77,75
"Himeno Benchmark - Poisson Pressure Solver",1251.43,1272.37
"7-Zip Compression - Compress Speed Test",14643,15286
"C-Ray - Total Time",17.80,18.39
"Parallel BZIP2 Compression - 256MB File Compression",12.23,10.73
"Smallpt - Global Illumination Renderer; 100 Samples",93,95
"Gzip Compression - 2GB File Compression",19.61,19.91
"Crafty - Elapsed Time",96.03,96.09
"FLAC Audio Encoding - WAV To FLAC",11.59,10.93
"LAME MP3 Encoding - WAV To MP3",19.34,20.10
"FFmpeg - H.264 HD To NTSC DV",32.58,29.75
"Tachyon - Total Time",14.30,14.16
"OpenSSL - RSA 4096-bit Performance",504.50,511.05
"Apache Benchmark - Static Web Page Serving",12343.27,12244.76

