ptsdisk-26102015

 ,"ptsdisk"
Processor,8 x Intel Core 2 Duo P9xxx (Penryn Class Core 2) @ 2.39GHz (8 Cores)
Motherboard,OpenStack Foundation Nova v2014.2.3
Chipset,Intel 440FX- 82441FX PMC
Memory,16384MB
Disk,158GB
Graphics,Cirrus Logic GD 5446
Network,Red Hat Virtio device
OS,Ubuntu 14.04
Kernel,3.13.0-66-generic (x86_64)
Compiler,GCC 4.8.4
File-System,ext4

 ,"ptsdisk"
"AIO-Stress - Random Write",690.24
"SQLite - Timed SQLite Insertions",641.05
"FS-Mark - 1000 Files, 1MB Size",14.73
"Dbench - 12 Clients",58.55
"Dbench - 48 Clients",99.42
"Dbench - 128 Clients",95.23
"Dbench - 1 Clients",86.93
"IOzone - 8GB Read Performance",1491.02
"IOzone - 8GB Write Performance",89.16
"Threaded I/O Tester - 64MB Random Read - 32 Threads",2758.56
"Threaded I/O Tester - 64MB Random Write - 32 Threads",0.93
"Compile Bench - Test: Compile",159.83
"Compile Bench - Test: Initial Create",66.83
"Compile Bench - Test: Read Compiled Tree",646.56
"Unpacking The Linux Kernel - linux-2.6.32.tar.bz2",16.08
"PostMark - Disk Transaction Performance",1323
"Gzip Compression - 2GB File Compression",24.06
"Apache Benchmark - Static Web Page Serving",8459.23

