ptstiobench-13102015

 ,"ptscpu","ptsdisk","ptsmemory","ptstiobench"
Processor,Intel Core i7 9xx @ 2.93GHz (1 Core),Intel Core i7 9xx @ 2.93GHz (1 Core),Intel Core i7 9xx @ 2.93GHz (1 Core),Intel Core i7 9xx @ 2.93GHz (1 Core)
Motherboard,OpenStack Foundation Nova v2014.2.3,OpenStack Foundation Nova v2014.2.3,OpenStack Foundation Nova v2014.2.3,OpenStack Foundation Nova v2014.2.3
Chipset,Intel 440FX- 82441FX PMC,Intel 440FX- 82441FX PMC,Intel 440FX- 82441FX PMC,Intel 440FX- 82441FX PMC
Memory,1 x 1024 MB RAM,1 x 1024 MB RAM,1 x 1024 MB RAM,1 x 1024 MB RAM
Disk,40GB,40GB,40GB,40GB
Graphics,Cirrus Logic GD 5446,Cirrus Logic GD 5446,Cirrus Logic GD 5446,Cirrus Logic GD 5446
Network,Red Hat Virtio device,Red Hat Virtio device,Red Hat Virtio device,Red Hat Virtio device
OS,Ubuntu 14.04,Ubuntu 14.04,Ubuntu 14.04,Ubuntu 14.04
Kernel,3.13.0-65-generic (x86_64),3.13.0-65-generic (x86_64),3.13.0-65-generic (x86_64),3.13.0-65-generic (x86_64)
Compiler,GCC 4.8.4,GCC 4.8.4,GCC 4.8.4,GCC 4.8.4
File-System,ext4,ext4,ext4,ext4

 ,"ptscpu","ptsdisk","ptsmemory","ptstiobench"
"Stream - Type: Copy",5912.14
"Stream - Type: Scale",6025.69
"Stream - Type: Triad",6864.78
"Stream - Type: Add",6603.34
"NAS Parallel Benchmarks - Test / Class: LU.A",2696.76
"Timed MAFFT Alignment - Multiple Sequence Alignment",27.34
"Gcrypt Library - CAMELLIA256-ECB Cipher",3567
"TSCP - AI Chess Performance",692977
"John The Ripper - Traditional DES",1727400
"John The Ripper - Blowfish",886
"x264 - H.264 Video Encoding",25.90
"GraphicsMagick - HWB Color Space",84
"GraphicsMagick - Local Adaptive Thresholding",70
"GraphicsMagick - Sharpen",15
"GraphicsMagick - Resizing",50
"Himeno Benchmark - Poisson Pressure Solver",1291.17
"7-Zip Compression - Compress Speed Test",3131
"C-Ray - Total Time",124.53
"Parallel BZIP2 Compression - 256MB File Compression",43.83
"Smallpt - Global Illumination Renderer; 100 Samples",667
"Crafty - Elapsed Time",93.67
"FLAC Audio Encoding - WAV To FLAC",10.68
"LAME MP3 Encoding - WAV To MP3",19.57
"FFmpeg - H.264 HD To NTSC DV",36.28
"Tachyon - Total Time",93.34
"OpenSSL - RSA 4096-bit Performance",71.23
"Apache Benchmark - Static Web Page Serving",6400.35,6295.74
"AIO-Stress - Random Write",78.79
"SQLite - Timed SQLite Insertions",200.88
"FS-Mark - 1000 Files, 1MB Size",19.40
"Dbench - 12 Clients",130.92
"Dbench - 48 Clients",126.89
"Dbench - 128 Clients",81.43
"Dbench - 1 Clients",20.81
"IOzone - 8GB Read Performance",79.26
"IOzone - 8GB Write Performance",61.35
"Threaded I/O Tester - 64MB Random Read - 32 Threads",62.62
"Threaded I/O Tester - 64MB Random Write - 32 Threads",3.13
"Compile Bench - Test: Compile",51.22
"Compile Bench - Test: Initial Create",42.91
"Compile Bench - Test: Read Compiled Tree",18.50
"Unpacking The Linux Kernel - linux-2.6.32.tar.bz2",17.73
"PostMark - Disk Transaction Performance",546
"Gzip Compression - 2GB File Compression",25.50
"RAMspeed SMP - Integer Add",5552.41
"RAMspeed SMP - Integer Copy",5554.73
"RAMspeed SMP - Integer Scale",5630.63
"RAMspeed SMP - Floating-Point Add",6570
"Stream - Add",6313.01
"Stream - Copy",5637.19
"Stream - Scale",5614.32
"CacheBench - Read Cache",2531.22
"CacheBench - Write Cache",12459.43
"Threaded I/O Tester - Test: Read - Size Per Thread: 32MB - Thread Count: 4",1529.08
"Threaded I/O Tester - Test: Read - Size Per Thread: 32MB - Thread Count: 8",1735.98
"Threaded I/O Tester - Test: Read - Size Per Thread: 64MB - Thread Count: 4",1567.43
"Threaded I/O Tester - Test: Read - Size Per Thread: 64MB - Thread Count: 8",1364.06
"Threaded I/O Tester - Test: Read - Size Per Thread: 128MB - Thread Count: 4",1763.83
"Threaded I/O Tester - Test: Read - Size Per Thread: 128MB - Thread Count: 8",115.87
"Threaded I/O Tester - Test: Read - Size Per Thread: 256MB - Thread Count: 4",111.21
"Threaded I/O Tester - Test: Read - Size Per Thread: 256MB - Thread Count: 8",111.62
"Threaded I/O Tester - Test: Read - Size Per Thread: 32MB - Thread Count: 16",1500.54
"Threaded I/O Tester - Test: Read - Size Per Thread: 32MB - Thread Count: 32",114.15
"Threaded I/O Tester - Test: Read - Size Per Thread: 64MB - Thread Count: 16",119.51
"Threaded I/O Tester - Test: Read - Size Per Thread: 64MB - Thread Count: 32",110.55
"Threaded I/O Tester - Test: Write - Size Per Thread: 32MB - Thread Count: 4",0.54
"Threaded I/O Tester - Test: Write - Size Per Thread: 32MB - Thread Count: 8",0.97
"Threaded I/O Tester - Test: Write - Size Per Thread: 64MB - Thread Count: 4",0.54
"Threaded I/O Tester - Test: Write - Size Per Thread: 64MB - Thread Count: 8",0.96
"Threaded I/O Tester - Test: Read - Size Per Thread: 128MB - Thread Count: 16",111.32
"Threaded I/O Tester - Test: Read - Size Per Thread: 128MB - Thread Count: 32",111.24
"Threaded I/O Tester - Test: Read - Size Per Thread: 256MB - Thread Count: 16",111.38
"Threaded I/O Tester - Test: Read - Size Per Thread: 256MB - Thread Count: 32",111.59
"Threaded I/O Tester - Test: Write - Size Per Thread: 128MB - Thread Count: 4",0.53
"Threaded I/O Tester - Test: Write - Size Per Thread: 128MB - Thread Count: 8",0.99
"Threaded I/O Tester - Test: Write - Size Per Thread: 256MB - Thread Count: 4",0.51
"Threaded I/O Tester - Test: Write - Size Per Thread: 256MB - Thread Count: 8",0.97
"Threaded I/O Tester - Test: Write - Size Per Thread: 32MB - Thread Count: 16",1.67
"Threaded I/O Tester - Test: Write - Size Per Thread: 32MB - Thread Count: 32",2.81
"Threaded I/O Tester - Test: Write - Size Per Thread: 64MB - Thread Count: 16",1.67
"Threaded I/O Tester - Test: Write - Size Per Thread: 64MB - Thread Count: 32",2.71
"Threaded I/O Tester - Test: Write - Size Per Thread: 128MB - Thread Count: 16",1.69
"Threaded I/O Tester - Test: Write - Size Per Thread: 128MB - Thread Count: 32",2.74
"Threaded I/O Tester - Test: Write - Size Per Thread: 256MB - Thread Count: 16",1.72
"Threaded I/O Tester - Test: Write - Size Per Thread: 256MB - Thread Count: 32",2.62
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 32MB - Thread Count: 4",1251.21
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 32MB - Thread Count: 8",1304.59
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 64MB - Thread Count: 4",1170.87
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 64MB - Thread Count: 8",1181.67
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 128MB - Thread Count: 4",1065.10
"Threaded I/O Tester - Test: Random Read - Size Per Thread: 128MB - Thread Count: 8",73.61
