ptsdisk-31082015

 ,"Intel Core i7 9xx"
Processor,Intel Core i7 9xx @ 2.93GHz (1 Core)
Motherboard,OpenStack Foundation Nova v2014.2.2
Chipset,Intel 440FX- 82441FX PMC
Memory,1024MB
Disk,40GB
Graphics,Cirrus Logic GD 5446
Network,Red Hat Virtio device
OS,Ubuntu 14.04
Kernel,3.13.0-62-generic (x86_64)
Compiler,GCC 4.8.4
File-System,ext4

 ,"Intel Core i7 9xx"
"AIO-Stress - Random Write",61.84
"SQLite - Timed SQLite Insertions",22.12
"FS-Mark - 1000 Files, 1MB Size",149.35
"Dbench - 12 Clients",345.21
"Dbench - 48 Clients",243.68
"Dbench - 128 Clients",134.72
"Dbench - 1 Clients",189.14
"IOzone - 8GB Read Performance",134.79
"IOzone - 8GB Write Performance",186.64
"Threaded I/O Tester - 64MB Random Read - 32 Threads",6.58
"Threaded I/O Tester - 64MB Random Write - 32 Threads",5.38
"Compile Bench - Test: Compile",135.72
"Compile Bench - Test: Initial Create",73.14
"Compile Bench - Test: Read Compiled Tree",28.35
"Unpacking The Linux Kernel - linux-2.6.32.tar.bz2",13.69
"PostMark - Disk Transaction Performance",911
"Gzip Compression - 2GB File Compression",18.88
"Apache Benchmark - Static Web Page Serving",6129.43

