ptsdisk-04112015

 ,"ptsdisk"
Processor,8 x Intel Core i7 9xx (Nehalem Class Core i7) @ 2.93GHz (8 Cores)
Motherboard,OpenStack Foundation Nova v2014.2.3
Chipset,Intel 440FX- 82441FX PMC
Memory,16384MB
Disk,157GB
Graphics,Cirrus Logic GD 5446
Network,Red Hat Virtio device
OS,Debian 8.2
Kernel,3.16.0-4-amd64 (x86_64)
Compiler,GCC 4.9.2
File-System,ext4
System Layer,KVM

 ,"ptsdisk"
"AIO-Stress - Random Write",655.30
"SQLite - Timed SQLite Insertions",269.33
"FS-Mark - 1000 Files, 1MB Size",9.50
"Dbench - 12 Clients",156.85
"Dbench - 48 Clients",337.46
"Dbench - 128 Clients",354.64
"Dbench - 1 Clients",42.92
"IOzone - 8GB Read Performance",1380.52
"IOzone - 8GB Write Performance",66.21
"Threaded I/O Tester - 64MB Random Read - 32 Threads",2887.88
"Threaded I/O Tester - 64MB Random Write - 32 Threads",5.19
"Compile Bench - Test: Compile",194.12
"Compile Bench - Test: Initial Create",91.41
"Compile Bench - Test: Read Compiled Tree",702.24
"Unpacking The Linux Kernel - linux-2.6.32.tar.bz2",15.94
"PostMark - Disk Transaction Performance",3277
"Gzip Compression - 2GB File Compression",18.81
"Apache Benchmark - Static Web Page Serving",9160.29

