ptsdisk-04112015

 ,"ptsdisk"
Processor,8 x Intel Core i7 9xx (Nehalem Class Core i7) @ 2.93GHz (8 Cores)
Motherboard,OpenStack Foundation Nova v2014.2.3
Chipset,Intel 440FX- 82441FX PMC
Memory,16384MB
Disk,158GB
Graphics,Cirrus Logic GD 5446
Network,Red Hat Virtio device
OS,Ubuntu 14.04
Kernel,3.13.0-66-generic (x86_64)
Compiler,GCC 4.8.4
File-System,ext4

 ,"ptsdisk"
"AIO-Stress - Random Write",830.00
"SQLite - Timed SQLite Insertions",133.50
"FS-Mark - 1000 Files, 1MB Size",23.17
"Dbench - 12 Clients",190.73
"Dbench - 48 Clients",350.87
"Dbench - 128 Clients",399.66
"Dbench - 1 Clients",41.38
"IOzone - 8GB Read Performance",1450.67
"IOzone - 8GB Write Performance",59.50
"Threaded I/O Tester - 64MB Random Read - 32 Threads",2483.41
"Threaded I/O Tester - 64MB Random Write - 32 Threads",3.47
"Compile Bench - Test: Compile",170.80
"Compile Bench - Test: Initial Create",70.90
"Compile Bench - Test: Read Compiled Tree",792.91
"Unpacking The Linux Kernel - linux-2.6.32.tar.bz2",17.95
"PostMark - Disk Transaction Performance",3086
"Gzip Compression - 2GB File Compression",19.16
"Apache Benchmark - Static Web Page Serving",11001.05

