ptscpu-04112015

 ,"ptscpu"
Processor,8 x Intel Core i7 9xx (Nehalem Class Core i7) @ 2.93GHz (8 Cores)
Motherboard,OpenStack Foundation Nova v2014.2.3
Chipset,Intel 440FX- 82441FX PMC
Memory,16384MB
Disk,158GB
Graphics,Cirrus Logic GD 5446
Network,Red Hat Virtio device
OS,Ubuntu 14.04
Kernel,3.13.0-66-generic (x86_64)
Compiler,GCC 4.8.4
File-System,ext4

 ,"ptscpu"
"Stream - Type: Copy",9200.70
"Stream - Type: Scale",9253.97
"Stream - Type: Triad",10563.21
"Stream - Type: Add",10451.69
"NAS Parallel Benchmarks - Test / Class: LU.A",7984.91
"Timed MAFFT Alignment - Multiple Sequence Alignment",7.87
"Gcrypt Library - CAMELLIA256-ECB Cipher",3563
"TSCP - AI Chess Performance",692803
"John The Ripper - Traditional DES",5469500
"John The Ripper - Blowfish",2966
"x264 - H.264 Video Encoding",72.76
"GraphicsMagick - HWB Color Space",81
"GraphicsMagick - Local Adaptive Thresholding",69
"GraphicsMagick - Sharpen",44
"GraphicsMagick - Resizing",77
"Himeno Benchmark - Poisson Pressure Solver",1276.87
"7-Zip Compression - Compress Speed Test",14762
"C-Ray - Total Time",17.78
"Parallel BZIP2 Compression - 256MB File Compression",7.87
"Smallpt - Global Illumination Renderer; 100 Samples",93
"Crafty - Elapsed Time",96.77
"FLAC Audio Encoding - WAV To FLAC",10.84
"LAME MP3 Encoding - WAV To MP3",19.75
"FFmpeg - H.264 HD To NTSC DV",29.26
"Tachyon - Total Time",14.13
"OpenSSL - RSA 4096-bit Performance",506.55
"Apache Benchmark - Static Web Page Serving",12142.59

