ptsdisk-30112015

 ,"ptsdisk"
Processor,8 x Intel Core 2 Duo P9xxx (Penryn Class Core 2) @ 2.39GHz (8 Cores)
Motherboard,OpenStack Foundation Nova v2015.1.2
Chipset,Intel 440FX- 82441FX PMC
Memory,16384MB
Disk,157GB
Graphics,Cirrus Logic GD 5446
Network,Red Hat Virtio device
OS,Debian 8.2
Kernel,3.16.0-4-amd64 (x86_64)
Compiler,GCC 4.9.2
File-System,ext4
System Layer,KVM

 ,"ptsdisk"
"AIO-Stress - Random Write",705.16
"SQLite - Timed SQLite Insertions",495.25
"FS-Mark - 1000 Files, 1MB Size",14.07
"Dbench - 12 Clients",61.04
"Dbench - 48 Clients",177.72
"Dbench - 128 Clients",151.81
"Dbench - 1 Clients",77.79
"IOzone - 8GB Read Performance",1506.21
"IOzone - 8GB Write Performance",73.99
"Threaded I/O Tester - 64MB Random Read - 32 Threads",2770.59
"Threaded I/O Tester - 64MB Random Write - 32 Threads",1.07
"Compile Bench - Test: Compile",173.26
"Compile Bench - Test: Initial Create",68.98
"Compile Bench - Test: Read Compiled Tree",658.32
"Unpacking The Linux Kernel - linux-2.6.32.tar.bz2",15.81
"PostMark - Disk Transaction Performance",1412
"Gzip Compression - 2GB File Compression",22.69
"Apache Benchmark - Static Web Page Serving",7473.67

