ptsmemory-02092015

 ,"ptsmemory"
Processor,Intel Core i7 9xx @ 2.93GHz (1 Core)
Motherboard,OpenStack Foundation Nova v2014.2.3
Chipset,Intel 440FX- 82441FX PMC
Memory,1 x 1024 MB RAM
Disk,38GB
Graphics,Cirrus Logic GD 5446
Network,Red Hat Virtio device
OS,CentOS 6.7
Kernel,2.6.32-573.3.1.el6.x86_64 (x86_64)
Compiler,GCC 4.4.7 20120313
File-System,ext4

 ,"ptsmemory"
"RAMspeed SMP - Integer Add",7183.94
"RAMspeed SMP - Integer Copy",6951.57
"RAMspeed SMP - Integer Scale",6909.26
"RAMspeed SMP - Floating-Point Add",7663.80
"Stream - Add",8123.25
"Stream - Copy",7208.92
"Stream - Scale",7151.23
"CacheBench - Read Cache",2478.57
"CacheBench - Write Cache",8402.83

