ptsdisk-01092015

 ,"ptsdisk"
Processor,Intel Core i7 9xx @ 2.93GHz (1 Core)
Motherboard,OpenStack Foundation Nova v2014.2.2
Memory,1 x 1024 MB RAM
Disk,40GB
OS,CentOS Linux 7
Kernel,3.10.0-229.11.1.el7.x86_64 (x86_64)
Compiler,GCC 4.8.3 20140911
File-System,xfs
Screen Resolution,1024x768
System Layer,KVM

 ,"ptsdisk"
"AIO-Stress - Random Write",68.46
"SQLite - Timed SQLite Insertions",27.99
"Dbench - 12 Clients",387.29
"Dbench - 48 Clients",157.25
"Dbench - 128 Clients",92.12
"Dbench - 1 Clients",170.33
"IOzone - 8GB Read Performance",138.12
"IOzone - 8GB Write Performance",179.85
"PostMark - Disk Transaction Performance",433
"Gzip Compression - 2GB File Compression",24.86


