ptsmemory-01092015

 ,"ptsmemory"
Processor,Intel Core i7 9xx @ 2.93GHz (1 Core)
Motherboard,OpenStack Foundation Nova v2014.2.2
Memory,1 x 1024 MB RAM
Disk,40GB
OS,CentOS Linux 7
Kernel,3.10.0-229.11.1.el7.x86_64 (x86_64)
Compiler,GCC 4.8.3 20140911
File-System,xfs
Screen Resolution,1024x768
System Layer,KVM

 ,"ptsmemory"
"RAMspeed SMP - Integer Add",5883.66
"RAMspeed SMP - Integer Copy",5631.54
"RAMspeed SMP - Integer Scale",5575.45
"RAMspeed SMP - Floating-Point Add",6588.69
"CacheBench - Read Cache",2522.82
"CacheBench - Write Cache",12360.24


